Company,Region,City,Founded,Employees,Revenue_funding,Web,Genres,Sample_games,Internship,Remote,Ownership,Notes
Supergiant Games,US / Canada (+ first-party extensions),San Francisco Bay Area (USA),2009,~20–40,Hades sales/ Twitch,https://www.supergiantgames.com,indie action-RPG / roguelite,Hades; Bastion; Transistor; Pyre,unknown,small office / hybrid,independent,Critic + player favorite; small team.
System Era Softworks,US / Canada (+ first-party extensions),"Seattle, WA (USA)",2016,~50-80,Astroneer,https://www.astroneer.space,sandbox exploration,Astroneer,unknown,hybrid,independent,Space exploration sandbox.
Take-Two Interactive,US / Canada (+ first-party extensions),"New York, NY (USA)",1993,~12000+,GTA/NBA 2K; Zynga mobile,https://www.take2games.com,publishing; AAA + mobile,GTA; Red Dead; NBA 2K; Zynga portfolio,unknown (according to sub-studios),mixed,public (TTWO),Rockstar + 2K + Zynga holding.
Team Asobi,US / Canada (+ first-party extensions),Tokyo (Japan; SIE),2020 (Japan Studio legacy),~80–120,Astro Bot,https://teamasobi.com,platform / first-party,Astro's Playroom; Astro Bot,unknown,office,Sony / PlayStation Studios,Core team after Japan Studio closure.
Team Cherry,US / Canada (+ first-party extensions),Adelaide (Australia),2014,~3–10,Hollow Knight,https://teamcherry.com.au,metroidvania,Hollow Knight; Silksong,unknown,small / remote,independent,Metroidvania milestone; Oceania but global impact.
Telltale Games,US / Canada (+ first-party extensions),USA (reboot),2004; re-released in 2019,~100+,episodic narrative,https://telltalegames.com,episodic adventure,The Walking Dead; The Wolf Among Us,unknown,hybrid,LCG Entertainment,restructured after bankruptcy in 2018.
Thatgamecompany,US / Canada (+ first-party extensions),"Santa Monica, CA (USA)",2006,~30–60,Sky; Journey,https://thatgamecompany.com,indie emotional / MMO-lite,Journey; Sky: Children of the Light; Flower,unknown,office,independent,Jenova Chen; emotional experience.
The Behemoth,US / Canada (+ first-party extensions),"San Diego, CA (USA)",2002,~20-40,Castle Crashers,https://www.thebehemoth.com,co-op action,Castle Crashers; Pit People,unknown,office,independent,Co-op comedy action.
The Coalition,US / Canada (+ first-party extensions),"Vancouver, BC (Canada)",2010 (Black Tusk),~300–400,unknown (Microsoft),https://coalitiongdc.com,AAA shooter,Gears of War series (Xbox era),unknown,office,Microsoft,Gears franchise studio.
The Initiative,US / Canada (+ first-party extensions),"Santa Monica, CA (USA)",2018,~100-200,Perfect Dark remake,https://www.xbox.com,AAA,Perfect Dark (development),unknown,office,Microsoft,Xbox AAA studio.
The Quantum Astrophysicists Guild,US / Canada (+ first-party extensions),USA / remote,2014,small,The Bridge; Manifold Garden not publishing — Manifold Garden separate,https://theqag.net,indie publishing / development,The Bridge; various puzzle,unknown,remote,independent,Puzzle indie.
Thunder Lotus Games,US / Canada (+ first-party extensions),"Montréal, QC (Canada)",2014,~20-40,Spiritfarer,https://thunderlotusgames.com,indie narrative,Spiritfarer; Jotun,unknown,office,independent,Hand-drawn art.
Toys for Bob,US / Canada (+ first-party extensions),"Novato, CA (USA)",1989,~200+,Crash / Spyro remakes,https://toysforbob.com,platform / action,Crash Bandicoot N. Sane Trilogy; Spyro Reignited,unknown,office,Microsoft / Activision,2024 independence news periodic; Activision legacy.
Tracktwenty Studios,US / Canada (+ first-party extensions),"Los Angeles, CA (USA)",2011,EA internal / downsized,The Simpsons: Tapped Out,https://www.ea.com,mobile,The Simpsons: Tapped Out,unknown,office,EA,EA mobile studio (seasonal).
Treyarch,US / Canada (+ first-party extensions),"Santa Monica, CA (USA)",1996,~400+,COD Black Ops cycle,https://www.treyarch.com,AAA FPS,Call of Duty: Black Ops,unknown,office,Microsoft / Activision,COD three-year cycle studios.
Trion Worlds,US / Canada (+ first-party extensions),"Redwood City, CA (USA)",2006,closed,Rift; Trove,https://www.trionworlds.com,MMORPG,Rift; Defiance; Trove,-,-,closed / Gamigo,Historical MMO.
TT Games,US / Canada (+ first-party extensions),Knutsford (UK),2005 (Traveller's Tales 1989),~400+,LEGO games,https://www.ttgames.com,family / action-adventure,LEGO Star Wars; LEGO Indiana Jones,unknown,office,Warner Bros. Games,LEGO game licensing machine.
Turbine,US / Canada (+ first-party extensions),"Needham, MA (USA)",1992,closed (2018),LotRO; DDO,https://www.turbine.com,MMORPG,Lord of the Rings Online; DDO,-,-,closed (WB),Historical MMO studio.
Turn 10 Studios,US / Canada (+ first-party extensions),"Redmond, WA (USA)",2001,~200–300,Forza Motorsport,https://www.forzamotorsport.net,sim racing,Forza Motorsport,unknown,office,Microsoft,Motorsport separate from Playground's Horizon line.
Turtle Rock Studios,US / Canada (+ first-party extensions),"Lake Forest, CA (USA)",2002,~100–150,unknown,https://turtlerockstudios.com,asym / co-op shooter,Left 4 Dead (historical); Back 4 Blood; Evolve,unknown,office,independent (Tencent past investment),Co-op horror/shooter.
Ubisoft Halifax,US / Canada (+ first-party extensions),"Halifax, NS (Canada)",2009 (Not Previously Related Designs — Hybride/Ubisoft),~100-150,support / animation,https://www.ubisoft.com,support; cinematic,Assassin's Creed cinematic/support,unknown,office,Ubisoft,Eastern Canada Ubisoft.
Ubisoft Quebec,US / Canada (+ first-party extensions),"Québec City, QC (Canada)",2005,~400-500,AC Odyssey/Valhalla,https://quebec.ubisoft.com,AAA RPG,Assassin's Creed Odyssey; Valhalla,yes - internship,office,Ubisoft,AC RPG era.
Ubisoft Saguenay,US / Canada (+ first-party extensions),"Saguenay, QC (Canada)",2018,~50-100,support,https://www.ubisoft.com,AAA support,various Ubisoft support,unknown,office,Ubisoft,Québec Ubisoft satellite.
Ubisoft Toronto,US / Canada (+ first-party extensions),"Toronto, ON (Canada)",2010,~600-800,Star Wars Outlaws,https://toronto.ubisoft.com,AAA open world,Star Wars Outlaws,yes - internship,office,Ubisoft,Large Canada Ubisoft.
Ubisoft Winnipeg,US / Canada (+ first-party extensions),"Winnipeg, MB (Canada)",2018,~100-200,AAA support,https://www.ubisoft.com,AAA support,Assassin's Creed / Rainbow Six support,unknown,office,Ubisoft,Canada Ubisoft satellite.
Undead Labs,US / Canada (+ first-party extensions),"Seattle, WA (USA)",2009,~100-150,State of Decay,https://www.undeadlabs.com,survival,State of Decay series,unknown,office,Microsoft,Xbox zombie survival.
United Front Games (tarihsel),US / Canada (+ first-party extensions),"Vancouver, BC (Canada)",2007-2019,closed,Sleeping Dogs; Sleeping Dogs,,AAA action,Sleeping Dogs; Forza Street,-,-,closed (Square Enix / indie),Historical Vancouver; Sleeping Dogs.
Unity Supersonic,US / Canada (+ first-party extensions),Tel Aviv / global,2020 (brand),Unity in-game,hypercasual publishing,https://www.supersonic.com,mobile publishing,many hypercasual titles,unknown,hybrid,Unity,Unity hypercasual publishing arm (Supersonic).
Unity Technologies,US / Canada (+ first-party extensions),"San Francisco, CA (USA)",2004,~4000–5000 range,motor + Runtime fee controversial period,https://unity.com,game engine / tool,Unity Engine,yes — internship,remote / hybrid common,public (U),Not a studio; a significant part of industry employment.
Unknown Worlds Entertainment,US / Canada (+ first-party extensions),"San Francisco, CA (USA)",2001,~50–100,Subnautica,https://unknownworlds.com,survival / exploration,Subnautica; Subnautica: Below Zero,unknown,hybrid,Krafton (2021),Underwater survival hit.
Valve,US / Canada (+ first-party extensions),"Bellevue, WA (USA)",1996,~400–500 range,Steam + hardware + games; very high profit,https://www.valvesoftware.com,platform; FPS; VR,Half-Life; Counter-Strike; Dota 2; Steam Deck,very rare / closed,office (flat hierarchy),private (employee ownership),PC distribution standard; hiring notoriously selective.
VBlank Entertainment,US / Canada (+ first-party extensions),USA / remote,2008,small,Retro City Rampage; 8-bit,https://www.vblank.com,indie retro,Retro City Rampage; Shakedown: Hawaii,unknown,remote,independent,Solo/small retro indie.
Vicarious Visions,US / Canada (+ first-party extensions),"Albany, NY (USA)",1990,~200+,Diablo IV support / COD,https://www.vvisions.com,AAA support,Diablo IV; Crash N. Sane (historical); Guitar Hero,unknown,office,Microsoft / Blizzard,2021 Blizzard merger.
Visual Concepts,US / Canada (+ first-party extensions),"Novato, CA (USA)",1988,~400+,NBA 2K annual,https://vcentertainment.com,sport,NBA 2K; WWE 2K (seasonal),unknown,office,Take-Two / 2K,basketball sim market leader.
WB Games Montréal,US / Canada (+ first-party extensions),"Montréal, QC (Canada)",2010,~200-400,Gotham Knights,https://www.wbgames.com,AAA action,Gotham Knights,unknown,office,Warner Bros. Games,WB Montréal.
William Chyr Studio,US / Canada (+ first-party extensions),"Chicago, IL (USA)",—,small / solo+,Manifold Garden,https://manifold.garden,indie puzzle,Manifold Garden,unknown,small,independent,Architectural puzzle.
World's Edge,US / Canada (+ first-party extensions),Remote / Microsoft,2019,small/medium,Age of Empires,https://www.ageofempires.com,RTS,Age of Empires IV; AoE updates,unknown,remote weighted,Microsoft,Age franchise Xbox publishing.
Yacht Club Games,US / Canada (+ first-party extensions),"Los Angeles, CA (USA)",2011,~10-25,Shovel Knight,https://yachtclubgames.com,indie platform,Shovel Knight,unknown,small,independent,Retro craftsmanship.
ZeniMax Online Studios,US / Canada (+ first-party extensions),"Hunt Valley, MD (USA)",2007,~300-400,ESO,https://www.elderscrollsonline.com,MMORPG,The Elder Scrolls Online,unknown,office,Microsoft / ZeniMax,ESO live service.
Zynga,US / Canada (+ first-party extensions),"San Francisco, CA (USA)",2007,~3000 range,Mobile revenue under Take-Two,https://www.zynga.com,mobile social / casual,Words With Friends; Peak Games portfolio,unknown,hybrid possibility,Take-Two,Peak/Gram/Rollic Turkey studios listed separately.
Zynga Austin,US / Canada (+ first-party extensions),"Austin, TX (USA)",—,Zynga in-game,mobile casual,https://www.zynga.com,mobile casual,various Zynga,unknown,office,Take-Two / Zynga,Zynga Austin office.
Zynga Chicago,US / Canada (+ first-party extensions),"Chicago, IL (USA)",—,Zynga in-game,mobile casual,https://www.zynga.com,mobile casual,various Zynga titles,unknown,office,Take-Two / Zynga,Zynga Chicago.
Zynga Toronto,US / Canada (+ first-party extensions),"Toronto, ON (Canada)",—,Zynga in-game,mobile,https://www.zynga.com,mobile,various,unknown,office,Take-Two / Zynga,Zynga Toronto.
10 Chambers,Europe / Israel,Stockholm (Sweden),2017,~30-50,GTFO,https://www.10chambers.com,co-op horror FPS,GTFO,unknown,office,independent,Payday veterans; hardcore co-op.
11 bit studios,Europe / Israel,Warsaw (Poland),2010,~200+,This War of Mine; Frostpunk,https://www.11bitstudios.com,indie-AA strategy / narrative,Frostpunk; This War of Mine,unknown,office,public (Poland),Difficult choice narrative strategy.
2K Czech,Europe / Israel,Brno (Czech Republic),1997 (Illusion Softworks),~100-200,Mafia I/II historical,https://www.2k.com,AAA action,Mafia; Mafia II,unknown,office,Take-Two / 2K,Continuing with Hangar 13 Brno.
2K Valencia,Europe / Israel,Valencia (Spain),2017,~50-100,support / development,https://www.2k.com,AAA support,2K portfolio support,unknown,office,Take-Two / 2K,2K Spain.
4A Games,Europe / Israel,Valletta (Malta) / Kyiv roots,2006,~200–300,Metro series,https://www.4a-games.com,FPS / narrative,Metro Exodus; Metro 2033,unknown,Malta HQ,Embracer,Ukrainian roots; Malta based.
Abstraction Games,Europe / Israel,Eindhoven (Netherlands),2007,~50-100,port,https://www.abstractiongames.com,port,very Indie/AA port,unknown,office,independent,Netherlands port.
Amber,Europe / Israel,Bucharest (Romania),2009,~200-400,art / co-dev,https://amberstudio.com,service,AAA art/co-dev,unknown,office,Keywords Studios,Romania service studio.
Amplitude Studios,Europe / Israel,Paris (France),2011,~100+,unknown (Sega),https://amplitude-studios.com,4X strategy,Endless Space; Endless Legend; Humankind,unknown,office,Sega,4X expert.
Ankama,Europe / Israel,Roubaix / Paris (France),2001,~500+,Dofus / Wakfu,https://www.ankama.com,MMORPG / animation,Dofus; Wakfu; Waven,unknown,office,independent,French MMO + animation IP.
Aristocrat Gaming / Product Madness,Europe / Israel,London (UK),2012 (Product Madness),~500+,mobile casino,https://www.productmadness.com,mobile casino / social,Lightning Link; Mega Hit Millions,unknown,office,Aristocrat Leisure,Plarium sibling; social casino.
Arkane Lyon,Europe / Israel,Lyon (France),1999,~100-150,Dishonored; Dishonored 2,https://www.arkane-studios.com,immersive sim,Dishonored series; Deathloop,unknown,office,Microsoft / ZeniMax,Arkane France headquarters.
Arrowhead Game Studios,Europe / Israel,Stockholm (Sweden),2008,~100–150,Helldivers 2 explosion,https://www.arrowheadgamestudios.com,co-op shooter,Helldivers; Helldivers 2,unknown,office,independent (Sony publishing),One of the most visible co-op hits of 2024.
Artifex Mundi,Europe / Israel,Katowice (Poland),2006,~100-150,HOPA / publishing,https://www.artifexmundi.com,hidden object,many HOPA; Bladebound,unknown,office,public (Poland),Hidden object + publishing.
Ascaron Entertainment,Europe / Israel,Gütersloh (Germany),1991,closed (2009),Sacred; Patrician,,RPG / sim,Sacred; Patrician,-,-,closed,Historical German; Kalypso IP legacy.
Asobo Studio,Europe / Israel,Bordeaux (France),2002,~300+,Flight Simulator partnership,https://www.asobostudio.com,simulation / adventure,Microsoft Flight Simulator; A Plague Tale,unknown,office,independent (strong MS relationship),MSFS technical partner.
Atomhawk,Europe / Israel,Gateshead (UK),2009,~100-200,concept art / UI,https://atomhawk.com,service; art,AAA concept/UI,unknown,office,Keywords Studios,BK art service.
Atomic Jelly,Europe / Israel,Warsaw (Poland),2014,~30-50,303 Squadron; not Ultrawings,https://atomicjelly.pl,sim / action,303 Squadron: Battle of Britain; Parasite,unknown,office,independent,Poland small/mid studio.
Avalanche Studios Group,Europe / Israel,Stockholm (Sweden),2003,~500+,unknown,https://avalanchestudios.com,open world,Just Cause; theHunter; Rage 2 (joint),unknown,office,Nordisk Film / private,Apex engine; Stockholm + NY.
Azur Games,Europe / Israel,Limassol (Cyprus) / global,2016,~300+,hypercasual publishing,https://azurgames.com,mobile hypercasual,multiple titles; Good Job Games portfolio relationship is periodic,unknown,distributed,private,Good Job TR in a separate list; Azur publisher.
Ballistic Moon,Europe / Israel,BK,2021,~50-100,co-dev,https://www.ballisticmoon.com,co-dev,various,unknown,office,independent,BK co-dev.
Battlestate Games,Europe / Israel,London / RU hub,2012,~200-300,Escape from Tarkov,https://www.battlestategames.com,extraction shooter,Escape from Tarkov,unknown,distributed,private,Extraction shooter pioneer.
Belka Games,Europe / Israel,Limassol (Cyprus),2015,~200+,mobile puzzle/narrative,https://belka-games.com,mobile puzzle / story,Grand Hotel Mania; type of Escape from Covetous Castle,unknown,distributed,private,Eastern European roots; Cyprus HQ.
Best Way,Europe / Israel,Ukraine,1991,~50-100,Men of War,https://bestway.com.ua,RTS,Men of War; Men of War II,unknown,distributed,independent,Ukraine RTS.
Bigpoint,Europe / Israel,Hamburg (Germany),2002,~200-400,browser games,https://www.bigpoint.com,browser / MMO,DarkOrbit; Seafight,unknown,office,private,Early browser game.
Black Forest Games,Europe / Israel,Offenburg (Germany),2012,~50-100,Destroy All Humans remake,https://blackforestgames.com,action,Destroy All Humans!; Giana Sisters,unknown,office,Embracer,German remake.
Black Spire,Europe / Israel,Poland / EU,—,~50-100,co-dev,https://blackspire.studio,co-dev,various,unknown,hybrid,independent,Poland/EU co-dev.
Blackmill Games,Europe / Israel,Haarlem (Netherlands),2010,~30-60,WW1 Game Series,https://www.blackmillgames.com,FPS,Verdun; Tannenberg; Isonzo,unknown,office,independent,World War I FPS.
Blizzard Barcelona,Europe / Israel,Barcelona (Spain),—,inside Blizzard,support / operations,https://www.blizzard.com,support; operation,Blizzard European support,unknown,office,Microsoft / Blizzard,Blizzard Barcelona.
Blizzard Cork,Europe / Israel,Cork (Ireland),—,inside Blizzard,customer / operations / support,https://www.blizzard.com,operations; support,Blizzard European operations,unknown,office,Microsoft / Blizzard,Blizzard Ireland.
Bloober Team,Europe / Israel,Kraków (Poland),2008,~200+,Silent Hill 2 remake,https://www.blooberteam.com,horror / narrative,Silent Hill 2; Layers of Fear; The Medium,unknown,office,public (Poland),Horror AA.
Bohemia Interactive,Europe / Israel,Prague (Czech Republic),1999,~400+,Arma; DayZ,https://www.bohemia.net,military sim / sandbox,Arma 3; DayZ; Arma Reforger,unknown,office,independent,Military sim and mod culture.
Bossa Studios,Europe / Israel,London (UK),2010,~50-100,Surgeon Simulator,https://www.bossastudios.com,indie,Surgeon Simulator; I Am Bread,unknown,office,independent,Physical comedy indie.
Broken Rules,Europe / Israel,Vienna (Austria),2009,~10-30,And Yet It Moves,https://brokenrules.at,indie,And Yet It Moves; Secrets of Raetikon,unknown,small,independent,Austria indie.
Bugbear Entertainment,Europe / Israel,Helsinki (Finland),2000,~50-100,Wreckfest,https://www.bugbeargames.com,racing,Wreckfest; FlatOut,unknown,office,Embracer,Destruction racing.
CCP Games,Europe / Israel,Reykjavík (Iceland),1997,~300-400,EVE Online,https://www.ccpgames.com,MMO space,EVE Online; EVE Vanguard,unknown,office,Pearl Abyss,Iceland MMO.
CD PROJEKT RED,Europe / Israel,Warsaw (Poland),2002 (CDPR 1994),~1100+,Witcher / Cyberpunk; Gwent,https://www.cdprojektred.com,AAA RPG,The Witcher 3; Cyberpunk 2077,yes — internship history,hybrid (company policies periodic),public (CDR),Poland AAA flagship.
Chibig,Europe / Israel,Valencia (Spain),2016,~20-40,Moonlighter; The Mageseeker,https://chibig.com,indie action-RPG,Moonlighter; The Mageseeker,unknown,office,independent,Spanish indie.
Chimera Entertainment,Europe / Israel,Munich (Germany),2008,~50-100,mobile / strategy,https://www.chimera-entertainment.de,mobile strategy,various mobile strategy,unknown,office,independent,German mobile/strategy.
CI Games,Europe / Israel,Warsaw (Poland),2002,~200+,Sniper Ghost Warrior,https://cigames.com,shooter / ARPG,Sniper Ghost Warrior; Lords of the Fallen (2023),unknown,office,public (Poland),Poland AA.
Climax Studios,Europe / Israel,Portsmouth (UK),1988,~150-200,port / VR,https://www.climaxgroup.com,port; VR,Assassin's Creed Nexus VR,unknown,office,independent,Long-standing UK studio.
Coffee Stain Studios,Europe / Israel,Skövde (Sweden),2010,~100+ (studio); group larger,Satisfactory; Goat Simulator,https://coffeestain.com,sim / indie publishing,Satisfactory; Goat Simulator; Deep Rock Galactic (publishing group),unknown,office,Embracer / The Coffee Stain,Swedish indie-AA + publishing.
Colossal Order,Europe / Israel,Tampere (Finland),2009,~50-80,Cities: Skylines,https://www.colossalorder.fi,city sim,Cities: Skylines; CS II,unknown,office,independent,City sim standard.
CrazyLabs,Europe / Israel,Tel Aviv (Israel),2010,~200-400,hypercasual publishing,https://www.crazylabs.com,mobile hypercasual,multi-title,unknown,office,Tencent,Israel hypercasual.
Creative Assembly,Europe / Israel,Horsham (UK),1987,~400–500,Total War,https://www.creativeassembly.com,strategy / RTS-grand,Total War series; Alien: Isolation,unknown,office,Sega,Total War franchise.
Creative Assembly Sofia,Europe / Israel,Sofia (Bulgaria),2019,~100-200,Total War support,https://www.creativeassembly.com,strategy,Total War support,unknown,office,Sega,CA Sofia.
Creepy Jar,Europe / Israel,Warsaw (Poland),2016,~30-50,Green Hell,https://creepyjar.com,survival,Green Hell,unknown,office,public (Poland),Forest survival.
Critical Force,Europe / Israel,Kajaani (Finland),2012,~100-200,Critical Ops,https://www.criticalforce.com,mobile FPS,Critical Ops,unknown,office,independent,Finland mobile FPS.
Croteam,Europe / Israel,Zagreb (Croatia),1993,~50-80,Serious Sam; Talos Principle,https://www.croteam.com,FPS / puzzle,Serious Sam; The Talos Principle,unknown,office,private,Serious Engine; Croatian studio.
Crows Crows Crows,Europe / Israel,Berlin (Germany),2015,small,Dr. Langeskov; related talent to The Beginner's Guide,https://crowscrowscrows.com,indie experimental,"Dr. Langeskov, The Tiger; Accounts; The Stanley Parable Ultra Deluxe partner",unknown,small,independent,Berlin experimental indie.
Crytek,Europe / Israel,Frankfurt (Germany),1999,~400+,Hunt: Showdown; CryEngine,https://www.crytek.com,AAA / F2P; engine,Hunt: Showdown; Crysis (historical),unknown (Istanbul on a separate list),office,private (Turkish founders; HQ Germany),Crytek Istanbul listed in Turkey.
Cyanide Studio,Europe / Israel,Paris (France),2000,~150-200,Blood Bowl; sports,https://www.cyanide-studio.com,sports / strategy,Blood Bowl; Tour de France,unknown,office,Nacon,French sports/strategy.
D3T,Europe / Israel,Warrington (BK),2002,~100-200,port / co-dev,https://d3t.co.uk,port; co-dev,very port,unknown,office,Keywords Studios,BK port studio.
Daedalic Entertainment,Europe / Israel,Hamburg (Germany),2007,~100–200,adventure publishing,https://www.daedalic.com,adventure / publishing,Deponia; Shadow Tactics (publication history),unknown,office,Nacon (acquisition),German adventure + publishing.
Deck13 Interactive,Europe / Israel,Frankfurt (Germany),2001,~100–150,unknown (Focus),https://www.deck13.com,action-RPG,Lords of the Fallen (2014); The Surge,unknown,office,Focus Entertainment,German AA action-RPG.
Demonware,Europe / Israel,Dublin (Ireland),2003,~200-300,COD online backend,https://www.demonware.net,online infrastructure,Call of Duty netcode/services,unknown,office,Microsoft / Activision,Activision online technology.
Dennaton Games,Europe / Israel,Sweden,2012,small,Hotline Miami,https://www.devolverdigital.com,indie action,Hotline Miami; Hotline Miami 2,unknown,small,independent (Devolver),Hotline Miami.
Destructive Creations,Europe / Israel,Gliwice (Poland),2014,~30-60,Hatred; Ancestors Legacy,https://destructivecreations.pl,strategy / action,Ancestors Legacy; not Risen — War Mongrels,unknown,office,independent,Poland strategy/action.
Digic Pictures,Europe / Israel,Budapest (Hungary),2002,~200-300,cinematic,https://www.digicpictures.com,cinematic animation,AAA game trailer,unknown,office,independent,Game cinematic.
DigixArt,Europe / Israel,Montpellier (France),2015,~30-50,Gylt,https://www.digixart.com,narrative,Gylt; Behind the Frame,unknown,office,independent,French narrative.
Dontnod Bordeaux,Europe / Israel,Bordeaux (France),2019,~50-100,Dontnod satellite,https://dontnod.com,narrative,various Dontnod projects,unknown,office,Dontnod,Dontnod Bordeaux campus.
Dontnod Entertainment,Europe / Israel,Paris (France),2008,~300 range,unknown,https://dontnod.com,narrative adventure,Life is Strange (historical); Tell Me Why,unknown,office,public (France),Optional narrative.
Double Eleven,Europe / Israel,Middlesbrough (UK),2009,~200-300,port + IP,https://doubleeleven.com,port; co-dev,various ports,unknown,office,independent,BK port/co-dev.
EA Gothenburg,Europe / Israel,Gothenburg (Sweden),2011 (former Ghost Games campus),EA internal / seasonal,racing / support,https://www.ea.com,racing / support,Need for Speed historical; EA support,unknown,office,EA,EA Gothenburg asset.
EA Madrid,Europe / Israel,Madrid (Spain),—,in EA,FIFA/FC Online support / mobile,https://www.ea.com,sports / mobile,EA FC services,unknown,office,EA,EA Spain.
EA Romania,Europe / Israel,Bucharest (Romania),2005,~1000+,FC backend / mobile,https://www.ea.com,sports / technology,EA FC services,unknown,office,EA,Eastern Europe EA.
Easy Trigger Games,Europe / Israel,Skövde (Sweden),2016,small,Huntdown,https://easytrigger.com,indie action,Huntdown,unknown,small,independent,Swedish pixel action.
Eko Software,Europe / Israel,Paris (France),1999,~50-100,V-Rally; Gear.Club,https://www.ekosoftware.com,racing,V-Rally; Gear.Club,unknown,office,Nacon,French racing.
Electric Square,Europe / Israel,Guildford (UK),2011,~50-100,port / co-dev,https://www.electricsquare.com,port,very AAA port,unknown,office,Keywords Studios,BK port.
Embark Studios,Europe / Israel,Stockholm (Sweden),2018,~200-300,The Finals; Arc Raiders,https://www.embark.games,live service / FPS,The Finals; Arc Raiders,unknown,office,Nexon,DICE veterans; Nexon.
Embracer Group,Europe / Israel,Karlstad (Sweden),2011 (THQ Nordic origin),tens of thousands (group; simplification period),holding; restructuring,https://embracer.com,holding; multiple studios,Darksiders; Remnant; Saints Row (Gearbox era),unknown,mixed,public (Sweden),Multiple studio consolidation; 2023–26 simplification.
Eugen Systems,Europe / Israel,Paris (France),2000,~80–120,unknown,https://eugensystems.com,RTS,Steel Division; WARNO; Wargame,unknown,office,independent,Real-time tactics/RTS.
Expansive Worlds,Europe / Israel,Stockholm (Sweden),2011,~30-60,theHunter classic,https://www.expansiveworlds.com,hunting sim,theHunter classic,unknown,office,Avalanche,Hunting sim studio.
Facepunch Studios,Europe / Israel,Birmingham (BK),2004,~50-100,Garry's Mod; Rust,https://facepunch.com,sandbox / survival,Garry's Mod; Rust,unknown,office,independent,Mod culture and Rust.
Fall Damage,Europe / Israel,Stockholm (Sweden),2016,~50-100,Generation Zero,https://falldamage.com,co-op shooter,Generation Zero,unknown,office,Embracer,Swedish co-op shooter.
Far North Entertainment,Europe / Israel,Sweden,2015,small,co-op / kart,https://www.farnorth.games,co-op; card,Aces & Adventures,unknown,small,independent,Sweden indie.
Farm 51,Europe / Israel,Gliwice (Poland),2005,~100+,unknown,https://www.thefarm51.com,action / VR / vehicle,World War 3; Chernobylite,unknown,office,independent / publicly traded seasonal,Poland AA/tools.
Fast Travel Games,Europe / Israel,Stockholm (Sweden),2016,~50-100,VR,https://www.fasttravelgames.com,VR,After the Fall,unknown,office,independent,Sweden VR.
Fatshark,Europe / Israel,Stockholm (Sweden),2008,~200+,Warhammer co-op,https://www.fatshark.se,co-op action,Vermintide; Darktide,unknown,office,Tencent minority,Warhammer licensed co-op.
Feral Interactive,Europe / Israel,London (UK),1996,~100-150,Mac/Linux port,https://www.feralinteractive.com,port,multiple AAA Mac/Linux/iOS port,unknown,office,independent,Mac/Linux port specialist.
Flaregames,Europe / Israel,Karlsruhe (Germany),2012,~50-100,mobile publishing,https://www.flaregames.com,mobile publishing,various mobile,unknown,office,private,German mobile publishing.
Flying Wild Hog,Europe / Israel,Warsaw (Poland),2009,~200+,unknown (Embracer),https://flyingwildhog.com,action,Shadow Warrior; Evil West; Trek to Yomi,unknown,office,Embracer,Poland action studio.
Focus Entertainment,Europe / Israel,Paris (France),1996,~400+,publishing + studio acquisitions,https://www.focus-entmt.com,publishing; simulation; AA,A Plague Tale; SnowRunner; Atomic Heart (published),unknown,mixed,public (France),European AA publisher.
Fool's Theory,Europe / Israel,Bielsko-Biała (Poland),2018,~50-100,The Thaumaturge,https://foolstheory.com,RPG,The Thaumaturge,unknown,office,independent,Poland RPG.
Forever Entertainment,Europe / Israel,Gdynia (Poland),2010,~50-100,publishing / port,https://forever-entertainment.com,publishing; port,very retro/indie publishing,unknown,office,public (Poland),Poland publishing.
Free Lunch Games,Europe / Israel,Malmö (Sweden),2018,small,indie,https://freelunchgames.com,indie,The Last Hero of Nostalgaia,unknown,small,independent,Sweden indie.
Free Radical Design,Europe / Israel,Nottingham (UK),1999; re-released in 2021,~100+,TimeSplitters,https://www.freeradicaldesign.com,FPS,TimeSplitters reboot,unknown,office,Embracer,Classic FPS revival.
Frictional Games,Europe / Israel,Helsingborg (Sweden),2006,~20-40,Amnesia; SOMA,https://frictionalgames.com,horror,Amnesia; SOMA; The Bunker,unknown,office,independent,Sweden horror.
Frogwares,Europe / Israel,Kyiv / Paris / Dublin,2000,~100-150,Sherlock Holmes,https://frogwares.com,adventure,Sherlock Holmes; The Sinking City,unknown,distributed,independent,Ukrainian root detective.
Frontier Developments,Europe / Israel,Cambridge (UK),1994,~800+,Elite Dangerous; Planet Zoo,https://www.frontier.co.uk,simulation,Elite Dangerous; Jurassic World Evolution; Planet Zoo,unknown,office,public (BK),David Braben; simulation expert.
Frozenbyte,Europe / Israel,Helsinki (Finland),2001,~50-80,Trine,https://www.frozenbyte.com,co-op puzzle,Trine series,unknown,office,independent,Finland co-op puzzle.
Fun Labs,Europe / Israel,Bucharest (Romania),1999,~50-100,co-dev,https://www.funlabs.com,co-dev,various,unknown,office,independent,Romania co-dev.
Funcom,Europe / Israel,Oslo (Norway),1993,~400+,Conan / Dune MMO,https://www.funcom.com,MMO / action-adventure,Conan Exiles; Dune: Awakening; The Secret World,unknown,office,Tencent,Norway MMO/action.
Futureplay,Europe / Israel,Helsinki (Finland),2015,~50-100,mobile hybrid,https://futureplay.com,mobile,various hybrid-casual,unknown,office,Stillfront,Finland mobile.
