Firma,Bölge,Şehir,Kuruluş,Çalışan,Gelir_fon,Web,Türler,Örnek_oyunlar,Staj,Uzaktan,Sahiplik,Not
Wide Game Studio,Diğer şehirler,Kayseri (AGÜ),2019,~9,$1.2M değerleme beyanı (2024),https://widegamestudio.com,AR/VR,Flare Frenzy; Flare Frenzy 2; Santa Climber; GRAVI; Wizard's Legacy,bilinmiyor,bilinmiyor,bağımsız,AA / Workup Gaming görünürlüğü.
Kirpy Games,Diğer şehirler,Adana (Seyhan),2021,bilinmiyor,bilinmiyor,https://kirpygames.com,casual / hyper-casual mobil,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Adana merkezli mobil stüdyo.
imaginite Games Studio,Diğer şehirler,Adana (Çukurova Teknopark),2015,bilinmiyor,bilinmiyor,,mobil + animasyon,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Aktiflik 2026'da doğrulanamadı; tarihsel kayıt.
Hookey Games,Diğer şehirler,Konya (Selçuklu),2020,~5,bilinmiyor,https://hookeystudio.com,mobil,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Konya merkezli küçük mobil stüdyo.
Boom Codes,Diğer şehirler,Samsun Teknopark (HQ İstanbul),2021,küçük,bilinmiyor,https://boomcodes.com,hyper-casual; AI,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Samsun ofisli; merkez İstanbul.
Ruby Games,İstanbul,İstanbul,2017,bilinmiyor,AppLovin satın alımı (2021),https://rubygames.com,hyper-casual,bilinmiyor,bilinmiyor,bilinmiyor,AppLovin,Erken hyper-casual exit'lerinden.
Stormling Studios,İstanbul,İstanbul,bilinmiyor,bilinmiyor,bilinmiyor,https://stormlingstudios.com,PC/konsol indie,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Wikipedia kategorisinde geçen yerli stüdyo.
Motion Blur,İstanbul,İstanbul,bilinmiyor,bilinmiyor,bilinmiyor,https://motionblur.com.tr,sinematik / oyun görseli,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Oyun ve sinema görsel stüdyosu; oyun şirketi kategorisinde geçer.
Simsoft,Ankara,Ankara (ODTÜ Teknokent),2006,bilinmiyor,bilinmiyor,https://simsoft.com.tr,simülasyon / serious games / savunma,bilinmiyor,evet — TOGED staj geçmişi,bilinmiyor,bağımsız,Klasik oyun stüdyosu değil; TOGED staj listesinde.
HAVELSAN,Ankara,Ankara,1982,bilinmiyor,bilinmiyor,https://havelsan.com.tr,savunma simülasyon / eğitim,bilinmiyor,evet — TOGED staj geçmişi,bilinmiyor,kamu bağlantılı,Stüdyo değil; simülasyon kapsamı için.
Reo-Tek,Ankara,Ankara (ODTÜ Teknokent),bilinmiyor,bilinmiyor,bilinmiyor,https://reo-tek.com,VR / dijital müzecilik,bilinmiyor,evet — TOGED staj geçmişi,bilinmiyor,bağımsız,Serious/VR; TOGED staj listesinde.
Paxie Games,İstanbul,İstanbul,2021,bilinmiyor,DoubleU Games %60 hissesi $27M (2025); Merge Studio $34M+ kümülatif gelir beyanı,https://paxiegames.com,mobil merge / casual,Merge Studio: Fashion Makeover; Tile Star; Mahjong Infinity,bilinmiyor,bilinmiyor,DoubleU Games (çoğunluk),Ludus portföyünden çıkış; merge-2 hit.
Mission Control Games,İstanbul,İstanbul; Londra,2026,küçük (erken),"$4M pre-seed (General Catalyst, 2026)",https://missioncontrol.gs,casual puzzle,ilk oyun geliştirme aşamasında,bilinmiyor,bilinmiyor,bağımsız,General Catalyst $4M pre-seed; Merge Dragons! veteranları; Londra+İstanbul.
Mindtail,İstanbul,İstanbul,bilinmiyor,bilinmiyor,~$2M pre-seed (sektör haberleri),,mobil oyun,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,İstanbul merkezli erken aşama stüdyo.
Lokum Games,İstanbul,İstanbul,~2010s (Zula kökeni),bilinmiyor,bilinmiyor,https://www.lokumgames.com,mobil FPS / shooter,Tactical Strike,bilinmiyor,bilinmiyor,bağımsız,Zula tecrübesiyle mobil shooter platformu.
Leap Games,İstanbul,İstanbul,~2023/2024,bilinmiyor,bilinmiyor,https://www.leapgames.mobi,mobil hidden-object / puzzle,Hidden Tales; Search It,bilinmiyor,bilinmiyor,bağımsız,Sarıyer/Emirgan; casual hidden-object.
Fortune Mine Games,İstanbul,İstanbul (Kadıköy),2021,~24,$2.85M toplam fon (Ludus),https://fortunemine.com,sosyal / casual mobil,Coin Chef,bilinmiyor,bilinmiyor,bağımsız,Uzun ömürlü sosyal casual odaklı.
Gleam Games,İstanbul,İstanbul,~2021,bilinmiyor,Game District satın alımı (2024 haberleri),https://gleamgames.com,mobil puzzle / match,EverBlast,bilinmiyor,bilinmiyor,Game District,İş ilanları aktif.
Playable Factory,İstanbul,İstanbul,bilinmiyor,bilinmiyor,Tamatem satın alımı (sektör haberi),https://playablefactory.com,playable ad / creative teknoloji,bilinmiyor,bilinmiyor,bilinmiyor,Tamatem,Tamatem satın alma haberi; playable üretim odaklı.
Hungri Games,İstanbul,İstanbul (+ Belfast),2019,bilinmiyor,bilinmiyor,https://hungrigames.com,mid-core / RPG / multiplayer mobil,bilinmiyor,bilinmiyor (kariyer sayfası var),bilinmiyor,bağımsız,"İstanbul kökenli, uluslararası ekip."
Biotech Gameworks,İstanbul,İstanbul,2023,~10 (LinkedIn),bilinmiyor,https://biotechgameworks.com,PC simülasyon / cooking,Kebab Chefs!,bilinmiyor,bilinmiyor,bağımsız,Kebab Chefs! cooking/sim.
Abrakadabra Games,İstanbul,İstanbul,bilinmiyor,bilinmiyor,fonlanmış (sektör listeleri),https://abrakadabragames.io,mobil,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,İstanbul mobil stüdyo.
Apphic Games,İstanbul,İstanbul,bilinmiyor,bilinmiyor,fonlanmış (sektör listeleri),https://apphic.com,mobil,Nusrat; Fetih İstanbul,bilinmiyor,bilinmiyor,bağımsız,Erken aşama İstanbul stüdyosu.
Studio Billion,İstanbul,İstanbul,2017,bilinmiyor,fonlanmış (sektör listeleri),https://studiobillion.com,mobil casual / hypercasual / simülasyon,Construction Simulator 3D; HR Master; Spin Warriors Istanbul; Word Hunters,bilinmiyor (kariyer sayfası var),bilinmiyor,bağımsız,İstanbul mobil stüdyo.
Gnarly Games,İstanbul,İstanbul,bilinmiyor,bilinmiyor,WePlay yatırımı (sektör),https://gnarlyteam.com,casual mobil,Frontline Heroes; Agent Hunt; Sea Lords,bilinmiyor,bilinmiyor,bağımsız,Fatih/Balat; WePlay yatırımı geçmişi.
Gulliver's Games,İstanbul,İstanbul,2019,bilinmiyor,fonlanmış (sektör),https://gullivers.games,mobil kelime / puzzle / tycoon,Word Tiles GO; Restaurant Tycoon; Plant Shop Tycoon,bilinmiyor (kariyer sayfası var),bilinmiyor,bağımsız,İstanbul mobil stüdyo.
Veloxia,İstanbul,İstanbul,bilinmiyor,bilinmiyor,Boğaziçi Ventures portföyü,https://veloxia.co,idle / simülasyon / MOBA,Space Colony: Idle; Idle Port; Embershard,bilinmiyor,remote-friendly (kariyer metni),bağımsız,Levent; BV portföy anmasıyla uyumlu.
Soft Towel Games,İstanbul,İstanbul,bilinmiyor,~10 (LinkedIn),bilinmiyor,https://softtowelgames.com,mobil kelime / puzzle,Words of Paradise; Calming Word Puzzles,bilinmiyor,bilinmiyor,bağımsız,Şişli + Yeşilköy; Kontra Dijital.
Hyper Bandit Games,İstanbul,İstanbul,bilinmiyor,bilinmiyor,bilinmiyor,,hypercasual,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,İstanbul hypercasual stüdyo.
Sisifos Games,İstanbul,İstanbul,bilinmiyor,bilinmiyor,bilinmiyor,,mobil,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,İstanbul mobil stüdyo.
Digidodo Games,İstanbul,İstanbul,bilinmiyor,bilinmiyor,bilinmiyor,https://digidodogames.com,hybrid-casual mobil; AI destekli üretim,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,İstanbul; hızlı prototip / hybrid-casual.
Boom Games,İstanbul,İstanbul,bilinmiyor,bilinmiyor,bilinmiyor,,mobil / hypercasual,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Boom Codes ile karıştırılmamalı.
Gamester,İstanbul,İstanbul,bilinmiyor,bilinmiyor,bilinmiyor,,mobil,bilinmiyor,evet — TOGED staj geçmişi,bilinmiyor,bağımsız,Geçmiş TOGED staj listesinde.
Nomad Monkey,İstanbul,İstanbul,2023,1–10 (LinkedIn),bilinmiyor,https://nomadmonkey.xyz,VR,Tunnels; Downhill Bike; Machine Shop Simulator,bilinmiyor,bilinmiyor,bağımsız,Tunnels Meta Quest (Mastiff yayın); OSTİM adres izi.
GameGuru,İstanbul,İstanbul,~2010 (site); bazı kaynaklar 2014,~19 (şirket About),500M+ indirme / 5M+ DAU beyanı (About),https://gameguru.net,hypercasual,Slap Kings; Fruit Clinic; Flick Goal; Street Hustle; Army Commander,bilinmiyor,bilinmiyor,bağımsız,Ayazağa; hypercasual odaklı uzun soluklu stüdyo.
Curse Game Studio,İstanbul,İstanbul,2019,bilinmiyor,bilinmiyor,,hypercasual 3D,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,3D hypercasual odaklı.
LuLu Games,İstanbul,İstanbul,2022,küçük,bilinmiyor,,mobil,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Sektör listelerinde geçen yeni stüdyo.
Metaverse Game Studios,İstanbul,İstanbul,2020,bilinmiyor,yatırım turu (2022 sektör haberleri),https://angelicthegame.com,sıra tabanlı strateji RPG,Angelic: Dark Symphony,bilinmiyor,bilinmiyor,bağımsız,"2026'da Angelicore Game Studios adını aldı; ABD merkezli, İstanbul ekipli dağıtık stüdyo."
Phoelix Games,İstanbul,İstanbul,bilinmiyor,bilinmiyor,bilinmiyor,https://phoelixgames.com,mobil,Excavator Simulator 2025,bilinmiyor,bilinmiyor,bağımsız,İstanbul mobil stüdyo.
OXS Games,İstanbul,İstanbul,bilinmiyor,bilinmiyor,bilinmiyor,,mobil,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,İstanbul mobil stüdyo.
SekGames,İstanbul,İstanbul,bilinmiyor,bilinmiyor,bilinmiyor,,mobil,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,İstanbul mobil stüdyo.
Wendigo Games,İstanbul,İstanbul,bilinmiyor,bilinmiyor,bilinmiyor,,oyun,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,İstanbul stüdyo.
Overbaked Studio,İstanbul,İstanbul,2026,bilinmiyor,bilinmiyor,https://overbaked.studio,oyun,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Yeni kurulmuş stüdyo.
Rotten Games,İstanbul,İstanbul,bilinmiyor,bilinmiyor,bilinmiyor,https://rotten.games,mobil puzzle / hybrid-casual,Quick Chess; Ball Climber,bilinmiyor,bilinmiyor,bağımsız,İstanbul mobil stüdyo.
Deneb Games,İstanbul,İstanbul / Türkiye,bilinmiyor,bilinmiyor,bilinmiyor,,mobil,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Türkiye merkezli mobil stüdyo.
Rotatelab,İstanbul,İstanbul / Türkiye,bilinmiyor,bilinmiyor,bilinmiyor,https://rotatelab.com,mobil,Cube Land,bilinmiyor,bilinmiyor,bağımsız,Türkiye mobil stüdyo.
Nokta Games,Ankara,Ankara,2017,~10–20 (LinkedIn),Supermarket Simulator milyonlarca oyuncu; Steam hit,https://noktagames.com,PC/konsol simülasyon,Supermarket Simulator; Toy Of War,bilinmiyor,bilinmiyor,bağımsız,Supermarket Simulator 1.0; konsol port ortaklıkları haberleri.
skgames,Ankara,Ankara,2014,bilinmiyor,Traffic Rider yüz milyonlarca indirme (sektör),https://skgames.net,mobil yarış / arcade,Traffic Rider; Traffic Racer; Wings on Fire,bilinmiyor (kariyer sayfası var),bilinmiyor,bağımsız,Soner Kara; uzun soluklu mobil yarış hitleri.
Curve Animation,Ankara,Ankara,2014,~16 (LinkedIn),Liar's Bar viral başarı,https://curve.com.tr,animasyon + oyun,Liar's Bar; Chicken Away,bilinmiyor (kariyer sayfası var),bilinmiyor,bağımsız,Animasyon kökenli; Liar's Bar ile oyun görünürlüğü.
Pixega Studio,Ankara,Ankara,2015,bilinmiyor,bilinmiyor,https://www.pixegastudio.com,oyun geliştirme / oyun sanatı / VR / AR,Twelve Labours of Hercules,evet — TOGED staj geçmişi,bilinmiyor,bağımsız,TOGED staj listesinde.
Zibumi,Ankara,Ankara (ODTÜ Teknokent atıf),~2008,bilinmiyor,bilinmiyor,,casual / browser,2Seksen; Monster Kartz,evet — TOGED staj geçmişi,bilinmiyor,bağımsız,"Erken dönem Ankara stüdyosu; 2020'de Esri tarafından satın alındı, Esri Ar-Ge Merkezi Ankara olarak devam ediyor."
2DOT Games,Ankara,Ankara (ODTÜ ATOM),bilinmiyor,bilinmiyor,bilinmiyor,https://2dotgames.com,PC / mobil indie,Unbelievers,bilinmiyor,bilinmiyor,bağımsız,ATOM ekosistemi stüdyosu.
Celtwood Games,Ankara,Ankara (ODTÜ ATOM),bilinmiyor,bilinmiyor,bilinmiyor,,oyun,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,ATOM ekosistemi stüdyosu.
Skyloft Studios,İzmir,İzmir,2015,~10–20 (LinkedIn),bilinmiyor,https://skyloftstudios.com,hypercasual / hybrid / mid-core,Hyper Survive 3D; Hyper Knight,bilinmiyor,bilinmiyor,bağımsız (BoomHits ortak ofis),BoomHits ile ofis birleşmesi; site under construction.
BoomHits,İzmir,İzmir (+ UK/Polonya hub),2021,küçük (LinkedIn ~3; BoomBit birleşmesi sonrası belirsiz),70M+ indirme beyanı; BoomBit iştiraki,https://boomhits.com,hypercasual / idle / hybrid yayıncılık,Shoe Race; Cat Life Sim; Crazy Traffic Control; Hyper Touchdown 3D,bilinmiyor,bilinmiyor,BoomBit iştiraki,BoomBit iştiraki; İzmir+UK+PL hub.
Joinco Games,İzmir,İzmir (Ege Teknopark / Bornova),2022,~10–20 (LinkedIn),$3.3M değerleme pre-seed (2024; Mobidictum),https://joincogames.com,AI-native competitive multiplayer; sport/arcade,Angry Goals,kariyer sayfası var,bilinmiyor,bağımsız,Angry Goals soft launch/canlı operasyon aşaması.
Teos Games,İzmir,İzmir,2021,~15–18 (site 15+; Tracxn ~18),bilinmiyor,https://teosgamestudio.com,mobil puzzle / brain-test; kalıcı oyun hedefi,Help Me,kariyer sayfası var,uzaktan ağırlıklı (şirket beyanı),bağımsız,İzmir + remote model site beyanı.
Room Games,İzmir,İzmir,2022,~11 (LinkedIn),bilinmiyor,https://roomgames.co,PC/konsol; hipergerçekçi RC / multiplayer,Recharge,evet — Intern Game Tester (site ekip listesi),bilinmiyor,bağımsız,İzmir çıkışlı indie; Steam Recharge; Gamescom 2026 İZKA asil.
HOGO Games,Diğer şehirler,Kocaeli,bilinmiyor,bilinmiyor,~$5M değerleme turu (2025; Red Axe + melekler),https://hogogames.com,PC + mobil,Marble Race; Travel Jam!; Fill The Bucket,bilinmiyor,bilinmiyor,bağımsız,Çok platformlu; PC odaklı büyüyor.
Red Axe Games,Diğer şehirler,Antalya,2023,bilinmiyor,bilinmiyor (HOGO'ya yatırımcı),https://redaxegames.com,PC simülasyon / yayıncılık,Car For Sale Simulator 2023; Gym Simulator 24; Banker Simulator; Car Service Simulator,bilinmiyor,bilinmiyor,bağımsız,Antalya; Steam sim / yayıncı profili.
Elite Games,Ankara,Ankara,bilinmiyor,bilinmiyor,bilinmiyor,,oyun,bilinmiyor,evet — TOGED staj geçmişi,bilinmiyor,bağımsız,TOGED staj listesinde.
Black COCO,Ankara,Ankara / Türkiye,bilinmiyor,bilinmiyor,bilinmiyor,,oyun,bilinmiyor,evet — TOGED staj geçmişi,bilinmiyor,bağımsız,TOGED staj listesinde.
Infosfer,Ankara,Ankara,bilinmiyor,bilinmiyor,bilinmiyor,,oyun / yazılım,bilinmiyor,evet — TOGED staj geçmişi,bilinmiyor,bağımsız,TOGED staj listesinde.
DGR Project,Ankara,Ankara / Türkiye,bilinmiyor,bilinmiyor,bilinmiyor,,oyun,bilinmiyor,evet — TOGED staj geçmişi,bilinmiyor,bağımsız,TOGED staj listesinde.
SanLab,Ankara,Ankara,bilinmiyor,bilinmiyor,bilinmiyor,https://sanlab.net,simülasyon / serious,bilinmiyor,evet — TOGED staj geçmişi,bilinmiyor,bağımsız,TOGED staj listesinde; serious/sim. Resmi siteye göre merkez İstanbul (Kartal).
Oldmoustache,İstanbul,İstanbul / Türkiye,2014,bilinmiyor,bilinmiyor,https://www.clockwizardgames.com,oyun,No70: Eye of Basir; Haunt Chaser; Demonologist,evet — TOGED staj geçmişi,bilinmiyor,bağımsız,TOGED staj listesinde; Clock Wizard Games adıyla devam ediyor.
Unico Studio,İstanbul,İstanbul (+ Palo Alto; Ankara varlığı),2018,~77–100+ (LinkedIn ~77; site 100+),1.6B+ indirme beyanı,https://unicostudio.co,casual puzzle,Brain Test; Woody Sort; 2248; Screw Out 3D; Who is?; Word Pearls,bilinmiyor (LinkedIn Intern kaydı; kariyer sayfası izlenmeli),uzaktan ağırlıklı / remote-first (şirket beyanı; TR ofisleri var),bağımsız,"Site: 1.6B+ install, 50+ oyun; Palo Alto HQ + TR ekibi baskın."
Gamegos,İstanbul,İstanbul (Ataşehir),2006,~40 (LinkedIn),bilinmiyor,https://www.gamegos.com,casual simülasyon / cooking,Cafeland; Manor Cafe; Adventure Bay; Marketland; Fashland,bilinmiyor,bilinmiyor,bağımsız,Facebook sosyal hit → mobil F2P; Amsterdam varlığı LinkedIn’de.
Fiber Games,İstanbul,İstanbul,2018,~18 (LinkedIn),BV/Arz seed; toplam fon ~$1M bandı (LinkedIn); erken BV 3M TL haberi,https://www.fibergames.com.tr,hyper/hybrid-casual,Weld It 3D; Beauty Center; Kral Şakir: Macera Adası; Opet Ultra Race,bilinmiyor,bilinmiyor,bağımsız,Kozyatağı; Rollic yayın ortaklığı geçmişi; 200+ prototip iddiası (BV).
Moon Star Games,İstanbul,İstanbul,2019,küçük (1–10; LinkedIn düşük),40M+ indirme beyanı,https://moonstargames.co,açık dünya sürüş / yarış sim,Motorcycle Driving: Cop Chase; Bike Rider; Car Crash Simulator; Real Moto Bike Racing,bilinmiyor,bilinmiyor,bağımsız,Play’de Moon Star Games Yazilim; 40M+ indirme / ~5M AU şirket beyanı.
SKEB Studios,İstanbul,İstanbul (Şişli),2018,~6 (LinkedIn),bilinmiyor; 4M+ indirme beyanı,https://skebstudios.com,PC indie + hypercasual,Colony; Slice Master; Color Rush; Hyper Dunk; Loot Town,bilinmiyor,bilinmiyor,bağımsız,"Site: 4M+ indirme, GIST ödüllü Colony; PC+hypercasual."
Pax Animi Games,İstanbul,İstanbul,2020,~4 (LinkedIn),Entertech/Yapı Kredi ~$250K (2025); toplam fon ~$280K bandı,https://www.paxanimigames.com,hyper/casual,Money to Billions; Pure Farm; FishAway,bilinmiyor,bilinmiyor,bağımsız,Bambu/Rollic hızlandırıcı mezunu.
Aden Games,İstanbul,İstanbul (+ Londra),2018,~10 (LinkedIn),bilinmiyor,https://adengames.com,hyper/casual; Web3,Weapon Craft Run; Gold Rush 3D; MarbleVerse,bilinmiyor (LinkedIn Intern kaydı geçmişi),bilinmiyor,bağımsız,Gold Rush 3D 10M+; Weapon Craft Run Rollic ile hızlı ölçek.
Duello Games,İstanbul,İstanbul,2010,~4 (LinkedIn),iSlash 20M+ indirme (şirket About); kesin ciro bilinmiyor,https://duello.com,mobil puzzle / arcade,iSlash; iSlash Heroes; TripTrap; Bellyfish,bilinmiyor,bilinmiyor,bağımsız,Erken App Store hit; ekip küçülmüş görünüyor.
Inventuna Games,İstanbul,İstanbul (İTÜ Teknokent),2021,1–10 (LinkedIn düşük/~2),bilinmiyor,https://www.inventuna.com,blockchain action RPG,Heroes Chained,bilinmiyor,bilinmiyor,bağımsız,İTÜ Arı Teknokent; GameFi sonrası ekip/ürün belirsizliği yüksek.
Softgames (İstanbul ofisi),İstanbul,İstanbul (Berlin HQ),2006,~90 global (şirket remote-work yazısı),bilinmiyor,https://softgames.com,instant / web / sosyal casual,bilinmiyor,evet — Mandatory Internship / Pflichtpraktikum ilanı (site),uzaktan ağırlıklı / remote-first (şirket beyanı; İstanbul ofis belgelenmiş),Softgames GmbH,"Berlin HQ + Toronto; İstanbul ofis tasarım projesi (Altun, ~2022–23)."
Frostline Games,İstanbul,İstanbul (Zaim Teknopark),2021,~4 (sektör; 1–10),seed ~$196K (2023; VCBacked),https://frostline.games,PC/konsol; MOBA / FPS arena / battle royale (planlanan),Kaçka (geliştirme); Naipler; Dünyalar Savaşı,bilinmiyor,bilinmiyor,bağımsız,Zaim Teknopark; ürünler henüz geniş çıkışlı değil.
Rocinante Games,İstanbul,İstanbul (İZÜ Teknopark),2021,küçük,bilinmiyor,https://rocinantegames.com,hyper-casual mobil,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Küçük teknopark stüdyosu.
Madcraft Studios,İstanbul,İstanbul,2018,1–10 (LinkedIn/Tracxn düşük),WePlay yatırımı (2020),https://madcraftstudios.com,PC narrative adventure,Crowalt: Traces of the Lost Colony,bilinmiyor,bilinmiyor,bağımsız,Crowalt Steam/konsol; madcraftstudios.com güncelde spam/hijack izlenimi — Steam kaydı esas.
Moonstar Games (3D Evi),İstanbul,İstanbul (Bakırköy),bilinmiyor,bilinmiyor,bilinmiyor,https://www.moonstargames.com,VR / PC,Castle Capture Topkapı; Despot Zombie,bilinmiyor,bilinmiyor,bağımsız,Moon Star Games (mobil) ile karıştırılmamalı.
ByteTyper,İstanbul,İstanbul (Kozyatağı); Ankara ofisi,2019,~10,Rollic/Zynga satın alma (2021),https://bytetyper.com,hyper-casual,Racing Online; Firefighter Hero; Touchdrawn,bilinmiyor,bilinmiyor,Rollic / Zynga,Rollic/Zynga 2021; Racing Online; Firefighter Hero; Touchdrawn.
ZeroSum,İstanbul,İstanbul (Sarıyer / Vadistanbul),2020,~11–50 (LinkedIn bandı),Rollic/Zynga satın alma (2021),,hyper-casual,Barista Life; Long Nails 3D; Off-Road Race,bilinmiyor,bilinmiyor,Rollic / Zynga,Rollic/Zynga 2021; resmi web doğrulanamadı (zerosum.co satışta).
Pinq Games,Ankara,Ankara (ODTÜ Teknokent / ATOM),2021,küçük (1–10; LinkedIn ~2),bilinmiyor,https://pinq.games,mid-core strateji; voxel R&D,Politon; Still Two Minutes,evet — stajyer/proje katkısı LinkedIn geçmişi,bilinmiyor,bağımsız (Otlak Yazılım),Politon full release Steam; PS/Xbox kit ortaklığı haberleri.
Oreon Studios,Ankara,Ankara,2022,~8,200M+ indirme beyanı,https://oreonstudios.com,hyper/hybrid-casual,Monster Draft; Slice Master; Draw Army; Mask Evolution; Build A Car,bilinmiyor,bilinmiyor,bağımsız,Mart 2022 kuruluş; 200M+ indirme şirket beyanı.
Hypermonk Games,Ankara,Ankara (Hacettepe Teknokent),2021,~35–36 (Tracxn/sektör),~$17.5M (Hacettepe Teknokent 2024 beyanı); ~80M indirme,https://hypermonkgames.com,yarış / casual,Highway Overtake; Dyno 2 Race; Drift 2 Drag; Count Bounce,bilinmiyor,bilinmiyor,bağımsız,Bazı kaynaklar kuruluş 2020; Highway Overtake global yarış #1 iddiası.
Kodgraf Game Studio,Ankara,Ankara (ODTÜ Teknokent),2008,bilinmiyor,bilinmiyor,https://www.kodgraf.com,PC/mobil,Boğaz Harbi; Protector M; Hürriyet Kelime,bilinmiyor,bilinmiyor,bağımsız,Erken Teknokent stüdyosu; güncel aktivite sınırlı olabilir.
Creasaur Entertainment,Ankara,Ankara,2017,11–50 bandı (LinkedIn),Rollic/Zynga satın alma (2021),https://creasaur.net,hyper-casual,Money Maker 3D; Hit Guys,bilinmiyor,ofis (açık ofis beyanı; remote-first değil),Rollic / Zynga,Bilkent Cyberpark; Rollic/Zynga 2021.
Quok Games,Ankara,Ankara,2020,bilinmiyor,bilinmiyor,,mobil,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Ankara mobil stüdyo (sektör ağında).
396 Animation & Game Studios,Eskişehir,Eskişehir (ATAP Anadolu Teknopark),2018,~26,bilinmiyor,https://www.linkedin.com/company/396-animation-and-game-studios,animasyon + oyun prodüksiyon,TRT Çocuk: Anadolu Rock ve Tuhafiye; Mercanya; Akıncı,bilinmiyor,bilinmiyor,bağımsız,"ATAP'ta; yerli yayıncılık/animasyon ağırlıklı, oyun prodüksiyon da yapıyor."
Craftbridge Games,Eskişehir,Eskişehir (ATAP Yazılımkule / EOSB),bilinmiyor,1–10,bilinmiyor,https://craftbridgegames.com,PC indie / side-scroller,The Carnival of Company; Ginga Cantina,bilinmiyor,bilinmiyor,bağımsız,ATAP firması CRAFTBRIDGE Bilişim; Steam'de yayınlı.
SensiBall VR,Eskişehir,Eskişehir (ATAP Anadolu Teknopark),bilinmiyor,bilinmiyor,bilinmiyor,https://sensiballvr.com,VR / serious games / spor bilişsel eğitim,SensiBallVR platformu,bilinmiyor,bilinmiyor,bağımsız,Futbol bilişsel performans için VR; oyun motoru/XR kesişimi.
Skunkworks Studios,Eskişehir,Eskişehir,~2024,1–10,bilinmiyor,,PC indie,Master of Cigkofte; Craft & Deliver; The Dismissed Case: Black Hollow,bilinmiyor,bilinmiyor,bağımsız,Eskişehir merkezli küçük indie; Steam çıkışları.
Fateloom,Eskişehir,Eskişehir,~2025,1–10,bilinmiyor,,oyun araçları / VFX / asset,Godot VFX pack; Audio Looper,bilinmiyor,bilinmiyor,bağımsız,Oyun geliştirici araçları ve VFX odaklı Eskişehir ekibi.
ValenGate Game Studio,Eskişehir,Eskişehir,2024,1–10,bilinmiyor,,oyun,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Eskişehir merkezli yeni stüdyo.
Ash & Pause,Eskişehir,Eskişehir,2025,~5,bilinmiyor,https://www.ashandpause.com,PC indie / multiplayer platformer,TaterUp; Loop 13,bilinmiyor,bilinmiyor,bağımsız,Icarus topluluğu kökenli; Steam'de TaterUp.
Narradive Studios,Eskişehir,Eskişehir ofisi (HQ İstanbul atıf),2025,1–10,bilinmiyor,https://narradive.com,narrative indie,Will You Be My Disciple?; Command Pocket,bilinmiyor,bilinmiyor,bağımsız,Eskişehir'de ekip; narrative dark comedy.
Lumos İnteraktif,Eskişehir,Eskişehir (ATAP),2023,bilinmiyor,bilinmiyor,,interaktif / animasyon / medya,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,ATAP'ta interaktif medya; oyun-animasyon kesişimi.
Resimli Filim,Eskişehir,Eskişehir (ATAP),bilinmiyor,bilinmiyor,bilinmiyor,http://www.resimlifilim.com,animasyon stüdyosu,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Saf oyun stüdyosu değil; Eskişehir animasyon ekosisteminin köklü aktörü.
Koala Film Stüdyo,Eskişehir,Eskişehir (ATAP),bilinmiyor,bilinmiyor,bilinmiyor,,animasyon / film,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,ATAP animasyon firması; yaratıcı endüstri görüşmelerinde yer alıyor.
Cyber Panda Studios,Eskişehir,Eskişehir,bilinmiyor,bilinmiyor,bilinmiyor,,mobil / blockchain oyun,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Eskişehir atıflı; doğrulama sınırlı.
Tasarım Simülasyon Teknolojileri,Eskişehir,Eskişehir (ESOGÜ Teknopark),bilinmiyor,bilinmiyor,bilinmiyor,,simülasyon teknolojileri,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,ATAP/ESOGÜ; serious simülasyon tarafı.
