Company,Region,City,Founded,Employees,Revenue_funding,Web,Email,Genres,Sample_games,Internship,Remote,Ownership,Notes
Valve,North America,"Bellevue, WA (USA)",1996,~400–500 range,Steam + hardware + games; very high profit,https://www.valvesoftware.com,press@valvesoftware.com (press),platform; FPS; VR,Half-Life 2; Counter-Strike 2; Dota 2; Portal 2; Team Fortress 2; Steam Deck; Left 4 Dead 2; Half-Life,very rare / closed,office (flat hierarchy),private (employee ownership),PC distribution standard via Steam; selective first-party output.
VBlank Entertainment,North America,USA / remote,2008,small,Retro City Rampage; 8-bit,https://www.vblank.com,unknown,indie retro,Retro City Rampage; Shakedown: Hawaii; Angry Video Game Nerd Adventures; VBlank catalog,unknown,remote,independent,Solo/small retro indie.
Vicarious Visions,Latin America,"Albany, NY (USA)",1990,~200+,Diablo IV support / COD,https://www.vvisions.com,press@blizzard.com (press),AAA support,Crash Bandicoot N. Sane Trilogy; Diablo II Resurrected; Crash N. Sane Trilogy; Diablo IV; Crash N. Sane (historical); Guitar Hero; Crash N. Sane (tarihsel),unknown,office,Microsoft / Blizzard,2021 Blizzard merger.
Visual Concepts,North America,"Novato, CA (USA)",1988,~400+,NBA 2K annual,https://vcentertainment.com,press@2k.com (press),sport,NBA 2K; WWE 2K; PGA Tour 2K; WWE 2K (seasonal),unknown,office,Take-Two / 2K,NBA 2K annual sports simulation engine room.
WB Games Montréal,North America,"Montréal, QC (Canada)",2010,~200-400,Gotham Knights,https://www.wbgames.com,press@warnerbros.com (press),AAA action,Batman: Arkham Origins; Gotham Knights contribution; Gotham Knights,unknown,office,Warner Bros. Games,WB Montréal.
William Chyr Studio,North America,"Chicago, IL (USA)",—,small / solo+,Manifold Garden,https://manifold.garden,unknown,indie puzzle,Manifold Garden; architectural puzzle design; Manifold updates; William Chyr catalog,unknown,small,independent,Architectural puzzle.
World's Edge,North America,Remote / Microsoft,2019,small/medium,Age of Empires,https://www.ageofempires.com,press@xbox.com (press),RTS,Age of Empires IV; Age of Empires II DE; Age of Mythology: Retold; AoE updates; AoE yenilemeleri,unknown,remote weighted,Microsoft,Age franchise Xbox publishing.
Yacht Club Games,North America,"Los Angeles, CA (USA)",2011,~10-25,Shovel Knight,https://yachtclubgames.com,press@yachtclubgames.com (press),indie platform,Shovel Knight; Shovel Knight Dig; Shovel Knight Pocket Dungeon; Shovel Knight Showdown; Mina the Hollower,unknown,small,independent,Retro craftsmanship.
ZeniMax Online Studios,North America,"Hunt Valley, MD (USA)",2007,~300-400,ESO,https://www.elderscrollsonline.com,press@bethesda.net (press),MMORPG,The Elder Scrolls Online; ESO chapters; ESO Morrowind; ESO Gold Road; ESO Plus,unknown,office,Microsoft / ZeniMax,ESO live service.
Zynga,North America,"San Francisco, CA (USA)",2007,~3000 range,Mobile revenue under Take-Two,https://www.zynga.com,press@zynga.com (press),mobile social / casual,Words With Friends; Empires & Puzzles; Merge Dragons; Zynga Poker; Toon Blast (Peak); Peak Games portfolio,unknown,hybrid possibility,Take-Two,Peak/Gram/Rollic Turkey studios listed separately; Take-Two owned.
Zynga Austin,North America,"Austin, TX (USA)",—,Zynga in-game,mobile casual,https://www.zynga.com,press@zynga.com (press),mobile casual,CSR Racing support; Zynga racing live-ops; social casino support; Zynga Austin slate; Zynga social/casino support; various Zynga,unknown,office,Take-Two / Zynga,Zynga/Take-Two Texas campus; racing and live-ops support.
Zynga Chicago,North America,"Chicago, IL (USA)",—,Zynga in-game,mobile casual,https://www.zynga.com,press@zynga.com (press),mobile casual,Empires & Puzzles support eras; Zynga midcore live-ops; Chicago mobile slate; Take-Two Zynga; Zynga midcore contribution; various Zynga titles,unknown,office,Take-Two / Zynga,Zynga Midwest midcore/live-ops contribution under Take-Two.
Zynga Toronto,North America,"Toronto, ON (Canada)",—,Zynga in-game,mobile,https://www.zynga.com,press@zynga.com (press),mobile,Zynga Words With Friends support; Canada live-ops; Toronto casual slate; Zynga social; Zynga Canada live-ops,unknown,office,Take-Two / Zynga,Zynga Canada studio supporting social/casual live-ops.
10 Chambers,Europe,Stockholm (Sweden),2017,~30-50,GTFO,https://www.10chambers.com,press@10chambers.com (press),co-op horror FPS,GTFO; GTFO rundowns; cooperative horror FPS; 10 Chambers live ops; hardcore co-op,unknown,office,independent,Payday veterans; hardcore co-op.
11 bit studios,Europe,Warsaw (Poland),2010,~200+,This War of Mine; Frostpunk,https://www.11bitstudios.com,info@11bitstudios.com (general); jobs@11bitstudios.com (HR),indie-AA strategy / narrative,Frostpunk; Frostpunk 2; This War of Mine; The Alters; Children of Morta (publish),unknown,office,public (Poland),Difficult-choice narrative strategy; Frostpunk and This War of Mine.
2K Czech,Europe,Brno (Czech Republic),1997 (Illusion Softworks),~100-200,Mafia I/II historical,https://www.2k.com,press@2k.com (press),AAA action,Mafia; Mafia II; Mafia III support; Hangar 13 Czech lineage,unknown,office,Take-Two / 2K,Continuing with Hangar 13 Brno.
2K Valencia,Europe,Valencia (Spain),2017,~50-100,support / development,https://www.2k.com,press@2k.com (press),AAA support,WWE 2K support; PGA Tour 2K support; 2K sports co-dev; Visual Concepts support; 2K portfolio support,unknown,office,Take-Two / 2K,2K Spain.
4A Games,Europe,Valletta (Malta) / Kyiv roots,2006,~200–300,Metro series,https://www.4a-games.com,press@4a-games.com (press),FPS / narrative,Metro Exodus; Metro 2033; Metro: Last Light; Metro Last Light,unknown,Malta HQ,Embracer,Ukrainian roots; Malta based.
Abstraction Games,Europe,Eindhoven (Netherlands),2007,~50-100,port,https://www.abstractiongames.com,info@abstractiongames.com (general),port,ports for indie/AA; multi-platform conversions; Unity/Unreal porting; Abstraction catalog; very Indie/AA port,unknown,office,independent,Netherlands port.
Amber,Europe,Bucharest (Romania),2009,~200-400,art / co-dev,https://amberstudio.com,contact@amberstudio.com (general),service,AAA art outsourcing; cinematic co-dev; character pipelines; Amber Studio services; AAA art/co-dev,unknown,office,Keywords Studios,Romania service studio.
Amplitude Studios,Europe,Paris (France),2011,~100+,unknown (Sega),https://amplitude-studios.com,press@amplitude-studios.com (press),4X strategy,Endless Space 2; Endless Legend; Humankind; Endless Space,unknown,office,Sega,4X expert.
Ankama,Europe,Roubaix / Paris (France),2001,~500+,Dofus / Wakfu,https://www.ankama.com,press@ankama.com (press),MMORPG / animation,Wakfu; Dofus; Waven,unknown,office,independent,French MMO + animation IP.
Aristocrat Gaming / Product Madness,Europe,London (UK),2012 (Product Madness),~500+,mobile casino,https://www.productmadness.com,unknown,mobile casino / social,Lightning Link; social casino; Mega Hit Millions,unknown,office,Aristocrat Leisure,Plarium sibling; social casino.
Arkane Lyon,Europe,Lyon (France),1999,~100-150,Dishonored; Dishonored 2,https://www.arkane-studios.com,press@bethesda.net (press),immersive sim,Dishonored; Dishonored 2; Deathloop; Dishonored series; Dishonored serisi,unknown,office,Microsoft / ZeniMax,Arkane France headquarters.
Arrowhead Game Studios,Europe,Stockholm (Sweden),2008,~100–150,Helldivers 2 explosion,https://www.arrowheadgamestudios.com,press@arrowheadgamestudios.com (press),co-op shooter,Helldivers 2; Helldivers; Magicka,unknown,office,independent (Sony publishing),Helldivers 2 breakout co-op shooter success.
Artifex Mundi,Europe,Katowice (Poland),2006,~100-150,HOPA / publishing,https://www.artifexmundi.com,contact@artifexmundi.com (general),hidden object,hidden-object / premium casual; many HOPA; Bladebound,unknown,office,public (Poland),Hidden object + publishing.
Ascaron Entertainment,Europe,Gütersloh (Germany),1991,closed (2009),Sacred; Patrician,,unknown,RPG / sim,Sacred; Sacred 2; Patrician; Port Royale,-,-,closed,Historical German; Kalypso IP legacy.
Asobo Studio,Europe,Bordeaux (France),2002,~300+,Flight Simulator partnership,https://www.asobostudio.com,press@asobostudio.com (press),simulation / adventure,Microsoft Flight Simulator; A Plague Tale: Innocence; Fuel; A Plague Tale,unknown,office,independent (strong MS relationship),Microsoft Flight Simulator technical showcase partner.
Atomhawk,Europe,Gateshead (UK),2009,~100-200,concept art / UI,https://atomhawk.com,info@atomhawk.com (general),service; art,AAA concept art; UI/UX services; Mortal Kombat art support; Atomhawk portfolio; AAA concept/UI,unknown,office,Keywords Studios,BK art service.
Atomic Jelly,Europe,Warsaw (Poland),2014,~30-50,303 Squadron; not Ultrawings,https://atomicjelly.pl,unknown,sim / action,303 Squadron: Battle of Britain; Parasite; Space Haven support; Atomic Jelly catalog,unknown,office,independent,Poland small/mid studio.
Avalanche Studios Group,Europe,Stockholm (Sweden),2003,~500+,unknown,https://avalanchestudios.com,press@avalanchestudios.com (press),open world,Just Cause 4; theHunter: Call of the Wild; Rage 2 (collab); Just Cause; theHunter; Rage 2 (joint); Rage 2 (ortak),unknown,office,Nordisk Film / private,Apex engine; Stockholm + NY.
Azur Games,Europe,Limassol (Cyprus) / global,2016,~300+,hypercasual publishing,https://azurgames.com,press@azurgames.com (press),mobile hypercasual,hypercasual publishing; Level Imposter; parking/idle slate; hypercasual publishing slate; multiple titles; Good Job Games portfolio relationship is periodic,unknown,distributed,private,Good Job TR in a separate list; Azur publisher.
Ballistic Moon,Europe,BK,2021,~50-100,co-dev,https://www.ballisticmoon.com,hello@ballisticmoon.com (general),co-dev,Still Wakes the Deep support; co-dev/horror tools; Ballistic Moon slate; UK co-dev,unknown,office,independent,BK co-dev.
Battlestate Games,Europe,London / RU hub,2012,~200-300,Escape from Tarkov,https://www.battlestategames.com,press@battlestategames.com (press),extraction shooter,Escape from Tarkov; Escape from Tarkov: Arena; Tarkov wipe seasons; Battlestate live ops,unknown,distributed,private,Escape from Tarkov defined modern extraction-shooter expectations.
Belka Games,Europe,Limassol (Cyprus),2015,~200+,mobile puzzle/narrative,https://belka-games.com,press@belka-games.com (press),mobile puzzle / story,Puzzle Clusters; Ball Sort; Color Water Sort; Grand Hotel Mania; type of Escape from Covetous Castle; Escape from Covetous Castle tipi,unknown,distributed,private,Eastern European roots; Cyprus HQ.
Best Way,Europe,Ukraine,1991,~50-100,Men of War,https://bestway.com.ua,press@bestway.com.ua (press),RTS,Men of War; Men of War II; Faces of War; Men of War: Assault Squad 2,unknown,distributed,independent,Ukraine RTS.
Bigpoint,Europe,Hamburg (Germany),2002,~200-400,browser games,https://www.bigpoint.com,press@bigpoint.net (press),browser / MMO,DarkOrbit; Seafight; Drakensang Online; Bigpoint browser MMO catalog,unknown,office,private,Early browser game.
Black Forest Games,Europe,Offenburg (Germany),2012,~50-100,Destroy All Humans remake,https://blackforestgames.com,press@blackforestgames.com (press),action,Destroy All Humans remake; Destroy All Humans!; Giana Sisters,unknown,office,Embracer,German remake.
Black Spire,Europe,Poland / EU,—,~50-100,co-dev,https://blackspire.studio,press@blackspire.com (press),co-dev,co-dev / unannounced; service studio slate; European outsourcing; Black Spire projects,unknown,hybrid,independent,Poland/EU co-dev.
Blackmill Games,Europe,Haarlem (Netherlands),2010,~30-60,WW1 Game Series,https://www.blackmillgames.com,info@blackmillgames.com (general),FPS,WW1 Game Series; Verdun; Tannenberg; Isonzo,unknown,office,independent,World War I FPS.
Blizzard Barcelona,Europe,Barcelona (Spain),—,inside Blizzard,support / operations,https://www.blizzard.com,press@blizzard.com (press),support; operation,World of Warcraft support; Overwatch localization/ops; Blizzard EU support; live ops; Blizzard European support; Blizzard Avrupa destek,unknown,office,Microsoft / Blizzard,Blizzard EU support campus for live-ops and localization.
Blizzard Cork,Europe,Cork (Ireland),—,inside Blizzard,customer / operations / support,https://www.blizzard.com,press@blizzard.com (press),operations; support,Blizzard player support; EU community ops; Battle.net support; Blizzard Cork campus; Blizzard European operations; Blizzard Avrupa operasyonu,unknown,office,Microsoft / Blizzard,Blizzard Ireland player-support and community operations.
Bloober Team,Europe,Kraków (Poland),2008,~200+,Silent Hill 2 remake,https://www.blooberteam.com,press@blooberteam.com (press),horror / narrative,Silent Hill 2; Layers of Fear; The Medium; Observer; Cronos: The New Dawn,unknown,office,public (Poland),Horror AA specialist; Silent Hill 2 remake raised global profile.
Bohemia Interactive,Europe,Prague (Czech Republic),1999,~400+,Arma; DayZ,https://www.bohemia.net,press@bohemia.net (press),military sim / sandbox,Arma 3; DayZ; Arma Reforger,unknown,office,independent,Arma milsim + DayZ survival; Czech military-sim culture.
Bossa Studios,Europe,London (UK),2010,~50-100,Surgeon Simulator,https://www.bossastudios.com,press@bossagames.com (press); bizdev@bossagames.com (biz),indie,Surgeon Simulator; I Am Bread; Worlds Adrift; Bossa catalog,unknown,office,independent,Physical comedy indie.
Broken Rules,Europe,Vienna (Austria),2009,~10-30,And Yet It Moves,https://brokenrules.at,hello@brokenrules.com (general),indie,And Yet It Moves; Secrets of Raetikon; Ambition; Broken Rules catalog,unknown,small,independent,Austria indie.
Bugbear Entertainment,Europe,Helsinki (Finland),2000,~50-100,Wreckfest,https://www.bugbeargames.com,press@embracer.com (press),racing,Wreckfest; FlatOut; FlatOut 2; Ridge Racer Unbounded,unknown,office,Embracer,Destruction racing.
CCP Games,Europe,Reykjavík (Iceland),1997,~300-400,EVE Online,https://www.ccpgames.com,press@ccpgames.com (press),MMO space,EVE Online; EVE Vanguard; EVE: War of Ascension eras; Dust 514 (legacy); EVE: Valkyrie (legacy),unknown,office,Pearl Abyss,Iceland MMO.
CD PROJEKT RED,Europe,Warsaw (Poland),2002 (CDPR 1994),~1100+,Witcher / Cyberpunk; Gwent,https://www.cdprojektred.com,jobs@cdprojektred.com (HR); media@cdprojektred.com (press),AAA RPG,The Witcher 3; Cyberpunk 2077; Phantom Liberty; The Witcher 3: Wild Hunt; GWENT; Thronebreaker; The Witcher 2,yes — internship history,hybrid (company policies periodic),public (CDR),Poland AAA flagship; Witcher and Cyberpunk define the studio.
Chibig,Europe,Valencia (Spain),2016,~20-40,Moonlighter; The Mageseeker,https://chibig.com,info@chibig.com (general); support@chibig.com (support),indie action-RPG,Moonlighter; The Mageseeker; Moonlighter 2; Chibig cozy action catalog,unknown,office,independent,Spanish indie.
Chimera Entertainment,Europe,Munich (Germany),2008,~50-100,mobile / strategy,https://www.chimera-entertainment.de,press@chimera-entertainment.de (press),mobile strategy,The Settlers Online; mobile strategy; various mobile strategy,unknown,office,independent,German mobile/strategy.
CI Games,Europe,Warsaw (Poland),2002,~200+,Sniper Ghost Warrior,https://cigames.com,press@cigames.com (press),shooter / ARPG,Sniper Ghost Warrior; Lords of the Fallen; Enemy Front; Lords of the Fallen (2023),unknown,office,public (Poland),Poland AA.
Climax Studios,Europe,Portsmouth (UK),1988,~150-200,port / VR,https://www.climaxgroup.com,press@climaxgroup.com (press),port; VR,Silent Hill remake support; classic remasters; Assassin's Creed Nexus VR,unknown,office,independent,Long-standing UK studio.
Coffee Stain Studios,Europe,Skövde (Sweden),2010,~100+ (studio); group larger,Satisfactory; Goat Simulator,https://coffeestain.com,press@coffeestainstudios.com (press),sim / indie publishing,Satisfactory; Goat Simulator; Deep Rock Galactic (publish); Valheim (publish); Deep Rock Galactic (publishing group),unknown,office,Embracer / The Coffee Stain,"Satisfactory + publishing (Valheim, DRG) inside Embracer orbit."
Colossal Order,Europe,Tampere (Finland),2009,~50-80,Cities: Skylines,https://www.colossalorder.fi,press@colossalorder.fi (press),city sim,Cities: Skylines; Cities: Skylines II; CS II,unknown,office,independent,City sim standard.
CrazyLabs,Middle East,Tel Aviv (Israel),2010,~200-400,hypercasual publishing,https://www.crazylabs.com,press@crazylabs.com (press),mobile hypercasual,Stack Ball; Crowd City; Spiral Roll; Cubes King; hypercasual portfolio; multi-title,unknown,office,Tencent,Tencent-backed hypercasual publisher/studio (Stack Ball etc.).
Creative Assembly,Europe,Horsham (UK),1987,~400–500,Total War,https://www.creativeassembly.com,press@sega.com (press),strategy / RTS-grand,Total War Warhammer III; Alien Isolation; Total War: Warhammer III; Total War: Pharaoh; Alien: Isolation; Total War series; Total War serisi,unknown,office,Sega,Total War strategy pillar; Alien: Isolation highlight.
Creative Assembly Sofia,Europe,Sofia (Bulgaria),2019,~100-200,Total War support,https://www.creativeassembly.com,press@sega.com (press),strategy,Total War support; Total War: Warhammer contribution; CA Sofia co-dev; strategy tools; Total War destek,unknown,office,Sega,CA Sofia.
Creepy Jar,Europe,Warsaw (Poland),2016,~30-50,Green Hell,https://creepyjar.com,contact@creepyjar.com (general); press@creepyjar.com (press),survival,Green Hell; Green Hell VR; Infernal; Creepy Jar survival catalog; Sons of the Forest adjacent culture,unknown,office,public (Poland),Forest survival.
Critical Force,Europe,Kajaani (Finland),2012,~100-200,Critical Ops,https://www.criticalforce.com,press@criticalforce.fi (press),mobile FPS,Critical Ops; Critical Strike; Critical Ops seasons; Critical Force FPS catalog; Critical Ops mobile FPS,unknown,office,independent,Finland mobile FPS.
Croteam,Europe,Zagreb (Croatia),1993,~50-80,Serious Sam; Talos Principle,https://www.croteam.com,contact@croteam.com (general),FPS / puzzle,Serious Sam 4; The Talos Principle; The Talos Principle 2; Serious Sam,unknown,office,private,Serious Engine; Croatian studio.
Crows Crows Crows,Europe,Berlin (Germany),2015,small,Dr. Langeskov; related talent to The Beginner's Guide,https://crowscrowscrows.com,hello@crowscrowscrows.com (general),indie experimental,"The Stanley Parable Ultra Deluxe; There Is No Game; Dr. Langeskov, The Tiger; Accounts; The Stanley Parable Ultra Deluxe partner; The Stanley Parable Ultra Deluxe ortak",unknown,small,independent,Berlin experimental indie.
Crytek,Europe,Frankfurt (Germany),1999,~400+,Hunt: Showdown; CryEngine,https://www.crytek.com,press@crytek.com (press),AAA / F2P; engine,Hunt: Showdown; Crysis Remastered; The Climb; Crysis (historical); Crysis (tarihsel),unknown (Istanbul on a separate list),office,private (Turkish founders; HQ Germany),Crytek Istanbul listed in Turkey.
Cyanide Studio,Europe,Paris (France),2000,~150-200,Blood Bowl; sports,https://www.cyanide-studio.com,contact@cyanide-studio.com (general),sports / strategy,Blood Bowl; Space Hulk; Tour de France,unknown,office,Nacon,French sports/strategy.
D3T,Europe,Warrington (BK),2002,~100-200,port / co-dev,https://d3t.co.uk,press@keywordsstudios.com (press),port; co-dev,Call of Duty ports support; AAA console ports; UK co-dev; Keywords D3T slate; co-dev / ports UK; very port,unknown,office,Keywords Studios,BK port studio.
Daedalic Entertainment,Europe,Hamburg (Germany),2007,~100–200,adventure publishing,https://www.daedalic.com,press@daedalic.com (press),adventure / publishing,Deponia; Blackguards; Shadow Tactics (publication history),unknown,office,Nacon (acquisition),German adventure + publishing.
Deck13 Interactive,Europe,Frankfurt (Germany),2001,~100–150,unknown (Focus),https://www.deck13.com,press@deck13.com (press),action-RPG,The Surge; Lords of the Fallen (hist.); Lords of the Fallen (2014),unknown,office,Focus Entertainment,German AA action-RPG.
Demonware,Europe,Dublin (Ireland),2003,~200-300,COD online backend,https://www.demonware.net,press@activision.com (press),online infrastructure,COD online services; matchmaking backend; Call of Duty netcode/services; Call of Duty netcode/hizmetleri,unknown,office,Microsoft / Activision,Activision online technology.
Dennaton Games,Europe,Sweden,2012,small,Hotline Miami,https://www.devolverdigital.com,press@dennaton.com (press),indie action,Hotline Miami; Hotline Miami 2: Wrong Number; Dennaton shorts; Devolver partnership; Hotline Miami 2; Hotline Miami Collection,unknown,small,independent (Devolver),Hotline Miami.
Destructive Creations,Europe,Gliwice (Poland),2014,~30-60,Hatred; Ancestors Legacy,https://destructivecreations.pl,press@destructivecreations.com (press),strategy / action,Hatred; Ancestors Legacy; not Risen — War Mongrels,unknown,office,independent,Poland strategy/action.
Digic Pictures,Europe,Budapest (Hungary),2002,~200-300,cinematic,https://www.digicpictures.com,info@digicpictures.com (general),cinematic animation,Destiny/COD cinematics; CG trailers; cinematics / CG trailers; AAA game trailer; AAA oyun trailer,unknown,office,independent,Game cinematic.
DigixArt,Europe,Montpellier (France),2015,~30-50,Gylt,https://www.digixart.com,press@digixart.com (press),narrative,Road 96; Gylt; Behind the Frame,unknown,office,independent,French narrative.
Dontnod Bordeaux,Europe,Bordeaux (France),2019,~50-100,Dontnod satellite,https://dontnod.com,press@dontnod.com (press),narrative,Jusant; Don't Nod Bordeaux projects; various Dontnod projects,unknown,office,Dontnod,Dontnod's Bordeaux campus expanding narrative capacity.
Dontnod Entertainment,Europe,Paris (France),2008,~300 range,unknown,https://dontnod.com,press@dontnod.com (press),narrative adventure,Life is Strange; Vampyr; Jusant; Tell Me Why; Life is Strange (historical); Life is Strange (tarihsel),unknown,office,public (France),Life is Strange narrative studio; expanding beyond teen drama.
Double Eleven,Europe,Middlesbrough (UK),2009,~200-300,port + IP,https://doubleeleven.com,press@doubleeleven.com (press),port; co-dev,Prison Architect console; Rust console; Sea of Thieves support eras; Double Eleven live-ops; console ports / live-ops; various ports,unknown,office,independent,"UK co-dev/live-ops studio (Prison Architect, Rust console)."
EA Gothenburg,Europe,Gothenburg (Sweden),2011 (former Ghost Games campus),EA internal / seasonal,racing / support,https://www.ea.com,press@ea.com (press),racing / support,Battlefield / Frostbite support; Need for Speed historical; EA support; Need for Speed tarihsel; EA destek,unknown,office,EA,EA Sweden campus supporting Frostbite/live titles.
EA Madrid,Europe,Madrid (Spain),—,in EA,FIFA/FC Online support / mobile,https://www.ea.com,press@ea.com (press),sports / mobile,EA Madrid campus support; EA FC services; EA FC hizmetleri,unknown,office,EA,EA Spain studio for sports/live-ops contribution.
EA Romania,Europe,Bucharest (Romania),2005,~1000+,FC backend / mobile,https://www.ea.com,press@ea.com (press),sports / technology,EA Bucharest services; EA FC services; EA FC hizmetleri,unknown,office,EA,EA Bucharest campus for sports and live support.
Easy Trigger Games,Europe,Skövde (Sweden),2016,small,Huntdown,https://easytrigger.com,info@easytrigger.com (general),indie action,Huntdown; Easy Trigger arcade catalog; co-op run-and-gun; Swedish indie FPS,unknown,small,independent,Swedish pixel action.
Eko Software,Europe,Paris (France),1999,~50-100,V-Rally; Gear.Club,https://www.ekosoftware.com,press@ekosoftware.com (press),racing,tennis / sports simulations; V-Rally; Gear.Club,unknown,office,Nacon,French racing.
Electric Square,Europe,Guildford (UK),2011,~50-100,port / co-dev,https://www.electricsquare.com,press@keywordsstudios.com (press),port,DreamWorks Dawn of Art; VR/co-dev titles; AAA porting; Keywords Electric Square; co-dev / VR; very AAA port,unknown,office,Keywords Studios,Keywords Studios co-dev/porting studio (UK).
Embark Studios,Europe,Stockholm (Sweden),2018,~200-300,The Finals; Arc Raiders,https://www.embark.games,press@embark.games (press),live service / FPS,THE FINALS; Arc Raiders; Embark multiplayer tech; former DICE founders slate,unknown,office,Nexon,Stockholm multiplayer studio from ex-DICE leads; THE FINALS / Arc Raiders.
Embracer Group,Europe,Karlstad (Sweden),2011 (THQ Nordic origin),tens of thousands (group; simplification period),holding; restructuring,https://embracer.com,press@embracer.com (press),holding; multiple studios,multi-label portfolio; Darksiders; Remnant; Saints Row; Dead Island; Destroy All Humans; Goat Simulator; Saints Row (Gearbox era),unknown,mixed,public (Sweden),Multi-label consolidation; 2023–26 portfolio simplification ongoing.
Eugen Systems,Europe,Paris (France),2000,~80–120,unknown,https://eugensystems.com,press@eugensystems.com (press),RTS,Steel Division 2; WARNO; Act of Aggression; Steel Division; Wargame,unknown,office,independent,Real-time tactics/RTS.
Expansive Worlds,Europe,Stockholm (Sweden),2011,~30-60,theHunter classic,https://www.expansiveworlds.com,unknown,hunting sim,theHunter: Call of the Wild; theHunter classic; theHunter klasik,unknown,office,Avalanche,Hunting sim studio.
Facepunch Studios,Europe,Birmingham (BK),2004,~50-100,Garry's Mod; Rust,https://facepunch.com,contact@facepunch.com (general),sandbox / survival,Rust; Garry's Mod; Soft Floppy Friends,unknown,office,independent,Rust and Garry's Mod; player-driven sandbox culture.
Fall Damage,Europe,Stockholm (Sweden),2016,~50-100,Generation Zero,https://falldamage.com,press@avalanchestudios.com (press),co-op shooter,Generation Zero; Avalanche Studios sister project; open-world shooter; Fall Damage catalog,unknown,office,Embracer,Swedish co-op shooter.
Far North Entertainment,Europe,Sweden,2015,small,co-op / kart,https://www.farnorth.games,unknown,co-op; card,Aces & Adventures; Far North card battler; indie tactical catalog,unknown,small,independent,Sweden indie.
Farm 51,Europe,Gliwice (Poland),2005,~100+,unknown,https://www.thefarm51.com,press@thefarm51.com (press),action / VR / vehicle,Chernobylite; Get Even; World War 3,unknown,office,independent / publicly traded seasonal,Poland AA/tools.
Fast Travel Games,Europe,Stockholm (Sweden),2016,~50-100,VR,https://www.fasttravelgames.com,press@fasttravelgames.com (press),VR,Budget Cuts; Until You Fall; After the Fall,unknown,office,independent,Sweden VR.
Fatshark,Europe,Stockholm (Sweden),2008,~200+,Warhammer co-op,https://www.fatshark.se,press@fatshark.se (press),co-op action,Vermintide 2; Darktide; Escape; Vermintide,unknown,office,Tencent minority,Warhammer licensed co-op.
Feral Interactive,Europe,London (UK),1996,~100-150,Mac/Linux port,https://www.feralinteractive.com,press@feralinteractive.com (press),port,Total War macOS ports; Batman Arkham macOS; COMPANY OF HEROES ports; Tomb Raider Mac/Linux; Mac/Linux AAA ports; multiple AAA Mac/Linux/iOS port,unknown,office,independent,London specialist in premium Mac/Linux/iOS AAA ports.
Flaregames,Europe,Karlsruhe (Germany),2012,~50-100,mobile publishing,https://www.flaregames.com,info@flaregames.com (general),mobile publishing,Fashion Dreamer publishing; mobile midcore portfolio; Flaregames publishing slate; European mobile; various mobile,unknown,office,private,German mobile publishing.
Flying Wild Hog,Europe,Warsaw (Poland),2009,~200+,unknown (Embracer),https://flyingwildhog.com,press@flyingwildhog.com (press),action,Shadow Warrior 3; Evil West; Shadow Warrior 2; Shadow Warrior; Trek to Yomi,unknown,office,Embracer,Poland action studio.
Focus Entertainment,Europe,Paris (France),1996,~400+,publishing + studio acquisitions,https://www.focus-entmt.com,press@focusent.com (press),publishing; simulation; AA,A Plague Tale; SnowRunner; Atomic Heart; Space Marine 2 (publish); A Plague Tale: Requiem; Insurgency: Sandstorm; Atomic Heart (published),unknown,mixed,public (France),European AA publisher; Plague Tale and simulation brands.
Fool's Theory,Europe,Bielsko-Biała (Poland),2018,~50-100,The Thaumaturge,https://foolstheory.com,press@foolstheory.com (press),RPG,The Witcher remake partner; Seven: Enhanced; The Thaumaturge,unknown,office,independent,Poland RPG.
Forever Entertainment,Europe,Gdynia (Poland),2010,~50-100,publishing / port,https://forever-entertainment.com,press@forever-entertainment.com (press),publishing; port,Contraptions; Fear Effect remasters; Conan Chop Chop publishing; Forever remaster slate; remasters / ports publishing; very retro/indie publishing,unknown,office,public (Poland),Poland publishing.
Free Lunch Games,Europe,Malmö (Sweden),2018,small,indie,https://freelunchgames.com,unknown,indie,The Last Hero of Nostalgaia; Free Lunch soulslike comedy; indie action catalog,unknown,small,independent,Sweden indie.
Free Radical Design,Europe,Nottingham (UK),1999; re-released in 2021,~100+,TimeSplitters,https://www.freeradicaldesign.com,press@freeradicaldesign.co.uk (press),FPS,TimeSplitters revival; TimeSplitters reboot; TimeSplitters yeniden,unknown,office,Embracer,Classic FPS revival.
Frictional Games,Europe,Helsingborg (Sweden),2006,~20-40,Amnesia; SOMA,https://frictionalgames.com,contact@frictionalgames.com (general),horror,Amnesia: The Bunker; SOMA; Amnesia: Rebirth; Amnesia; The Bunker,unknown,office,independent,Sweden horror.
Frogwares,Europe,Kyiv / Paris / Dublin,2000,~100-150,Sherlock Holmes,https://frogwares.com,press@frogwares.com (press),adventure,Sherlock Holmes: Chapter One; The Sinking City; Sherlock Holmes: The Awakened; Frogwares detective catalog; Sherlock Holmes; Sherlock Holmes Chapter One,unknown,distributed,independent,Ukrainian root detective.
Frontier Developments,Europe,Cambridge (UK),1994,~800+,Elite Dangerous; Planet Zoo,https://www.frontier.co.uk,press@frontier.co.uk (press),simulation,Elite Dangerous; Planet Coaster; Planet Zoo; Jurassic World Evolution,unknown,office,public (BK),Elite Dangerous + management sims (Planet Coaster/Zoo).
