Company,Region,City,Founded,Employees,Revenue_funding,Web,Email,Genres,Sample_games,Internship,Remote,Ownership,Notes
Hookey Games,Other cities,Konya (Selçuklu),2020,~5,unknown,https://hookeystudio.com,unknown,mobile,unknown,unknown,unknown,independent,Small mobile studio based in Konya.
Boom Codes,Other cities,Samsun Teknopark (HQ Istanbul),2021,small,unknown,https://boomcodes.com,unknown,hyper-casual; AI,unknown,unknown,unknown,independent,Samsun office; central Istanbul.
Ruby Games,Istanbul,Istanbul,2017,unknown,AppLovin acquisition (2021),https://rubygames.com,rubygames.privacy@rovio.com (privacy); rubygames.info@rovio.com (general); info@rubygamestudio.com (general); hr@rubygamestudio.com (HR),hyper-casual,Draw Climber; Tall Man Run; Bridge Race; Fun Race 3D (yayın),unknown,unknown,AppLovin,Early hyper-casual exit example; part of Rovio (Izmir); Draw Climber era.
Stormling Studios,Istanbul,Istanbul,unknown,unknown,unknown,https://stormlingstudios.com,scaliskan93@gmail.com (general),PC/console indie,unknown,unknown,unknown,independent,Local studio mentioned in Wikipedia category.
Motion Blur,Istanbul,Istanbul,unknown,unknown,unknown,https://motionblur.com.tr,unknown,cinematic / game visual,unknown,unknown,unknown,independent,Visual studio for games and cinema; classified under game company category.
Simsoft,Ankara,Ankara (METU Technopolis),2006,unknown,unknown,https://simsoft.com.tr,info@simsoft.com.tr (general); info@simsoftech.com (general); ist@simsoft.com.tr (general),simulation / serious games / defense,unknown,yes — TOGED internship history,unknown,independent,Not a classic game studio; on TOGED internship list.
HAVELSAN,Ankara,Ankara,1982,unknown,unknown,https://havelsan.com.tr,unknown,defense simulation / training,unknown,yes — TOGED internship history,unknown,public connection,Not a studio; for simulation scope. Defense sim/training (not a classic game studio).
Reo-Tek,Ankara,Ankara (METU Technopolis),unknown,unknown,unknown,https://reo-tek.com,info@reo-tek.com (general),VR / digital museology,unknown,yes — TOGED internship history,unknown,independent,Serious/VR; on TOGED internship list.
Paxie Games,Istanbul,Istanbul,2021,unknown,DoubleU Games 60% stake $27M (2025); Merge Studio $34M+ cumulative revenue report,https://paxiegames.com,hey@paxiegames.com (general); support@paxiegames.com (support),mobile merge / casual,Merge Studio: Fashion Makeover; Tile Star; Mahjong Infinity; Merge Fashion,unknown,unknown,DoubleU Games (majority),Exit from Ludus portfolio; merge-2 hit.
Mission Control Games,Istanbul,Istanbul; London,2026,small (early),"$4M pre-seed (General Catalyst, 2026)",https://missioncontrol.gs,contact@missioncontrol.gs (general),casual puzzle,in early game development stage,unknown,unknown,independent,General Catalyst $4M pre-seed; Merge Dragons! veterans; London+Istanbul.
Mindtail,Istanbul,Istanbul,unknown,unknown,~$2M pre-seed (industry news),https://mindtail.co,info@mindtail.co (general),mobile hybrid-casual,unknown,unknown,unknown,independent,New Istanbul-based studio; the founders are industry veterans and no game has shipped yet.
Lokum Games,Istanbul,Istanbul,~2010s (Zula origin),unknown,unknown,https://www.lokumgames.com,contact-mobile@lokumgames.com (general),mobile FPS / shooter,Tactical Strike; Idle Strike,unknown,unknown,independent,Mobile shooter platform with Zula experience.
Leap Games,Istanbul,Istanbul,~2023/2024,unknown,unknown,https://www.leapgames.mobi,unknown,mobile hidden-object / puzzle,Hidden Tales; Search It; Hidden Object Mysteries,unknown,unknown,independent,Sarıyer/Emirgan; casual hidden-object.
Fortune Mine Games,Istanbul,Istanbul (Kadıköy),2021,~24,$2.85M total funding (Ludus),https://fortunemine.com,info@fortunemine.com (general),social / casual mobile,Coin Chef; Merge Cooking,unknown,unknown,independent,Long-lasting social casual focus.
Gleam Games,Istanbul,Istanbul,~2021,unknown,Game District acquisition (2024 news),https://gleamgames.com,account@gleamgames.com (general),mobile puzzle / match,EverBlast; Match Blast,unknown,unknown,Game District,job listings active.
Playable Factory,Istanbul,Istanbul,unknown,unknown,Tamatem acquisition (industry news),https://playablefactory.com,hello@playablefactory.com (general),playable ad / creative technology,playable ads / UA creatives,unknown,unknown,Tamatem,Tamatem acquisition news; focused on playable production.
Hungri Games,Istanbul,Istanbul (+ Belfast),2019,unknown,unknown,https://hungrigames.com,unknown,mid-core / RPG / multiplayer mobile,unknown,unknown (career page exists),unknown,independent,"Istanbul-based, international team."
Biotech Gameworks,Istanbul,Istanbul,2023,~10 (LinkedIn),unknown,https://biotechgameworks.com,info@biotechgameworks.com (general); contact@biotechgameworks.com (general),PC simulation / cooking,Kebab Chefs!; Cooking Idle,unknown,unknown,independent,Kebab Chefs! cooking/sim.
Abrakadabra Games,Istanbul,Istanbul,unknown,unknown,funded (industry listings),https://abrakadabragames.io,unknown,mobile,unknown,unknown,unknown,independent,Istanbul mobile studio.
Apphic Games,Istanbul,Istanbul,unknown,unknown,funded (industry listings),https://apphic.com,info@apphic.com (general),mobile,Nusrat; Fetih İstanbul; Ottoman Empire Strategy,unknown,unknown,independent,Early stage Istanbul studio.
Studio Billion,Istanbul,Istanbul,2017,unknown,funded (industry listings),https://studiobillion.com,info@studiobillion.com (general); hr@studiobillion.com (HR); business@studiobillion.com (business),mobile casual / hypercasual / simulation,Construction Simulator 3D; HR Master; Spin Warriors Istanbul; Word Hunters; Idle Construction,unknown (career page exists),unknown,independent,Istanbul mobile studio.
Gnarly Games,Istanbul,Istanbul,unknown,unknown,WePlay investment (industry),https://gnarlyteam.com,info@gnarlyteam.com (general),casual mobile,Frontline Heroes; Agent Hunt; Sea Lords; War Heroes,unknown,unknown,independent,Fatih/Balat; WePlay investment history.
Gulliver's Games,Istanbul,Istanbul,2019,unknown,funded (industry),https://gullivers.games,takim@gullivers.games (general),mobile word / puzzle / tycoon,Word Tiles GO; Restaurant Tycoon; Plant Shop Tycoon; Word Connect Tycoon,unknown (career page exists),unknown,independent,Istanbul mobile studio.
Veloxia,Istanbul,Istanbul,unknown,unknown,Boğaziçi Ventures portfolio,https://veloxia.co,unknown,idle / simulation / MOBA,Space Colony: Idle; Idle Port; Embershard,unknown,remote-friendly (career text),independent,Levent; aligned with BV portfolio memorial.
Soft Towel Games,Istanbul,Istanbul,unknown,~10 (LinkedIn),unknown,https://softtowelgames.com,support@softtowelgames.com (support),mobile word / puzzle,Words of Paradise; Calming Word Puzzles; Word Zen,unknown,unknown,independent,Şişli + Yeşilköy; Kontra Digital.
Hyper Bandit Games,Istanbul,Istanbul,unknown,unknown,unknown,https://hyperbandit.com,hi@hyperbandit.com (general),hypercasual / hybrid-casual,unknown,unknown,unknown,independent,Istanbul hypercasual studio; per LinkedIn it also has a Tallinn office.
Sisifos Games,Istanbul,Istanbul,unknown,unknown,unknown,https://www.linkedin.com/company/sisifos-games,unknown,mobile,unknown,unknown,unknown,independent,The domain has lapsed and the Google Play developer account has passed to another company — appears to have closed.
Digidodo Games,Istanbul,Istanbul,unknown,unknown,unknown,https://digidodogames.com,support@digidodo.net (support); work@digidodo.net (HR),hybrid-casual mobile; AI-supported production,unknown,unknown,unknown,independent,Istanbul; rapid prototyping / hybrid-casual.
Boom Games,Istanbul,Istanbul,2020,unknown,unknown,https://www.boomgames.co,hello@boomgames.co (general),hypercasual / hybrid-casual,Puppet Master Run; Flip Carve; Draw Bullets; Grocery 3D,unknown,unknown,independent,Not to be confused with Boom Codes.
Gamester,Istanbul,Istanbul,unknown,unknown,unknown,https://www.instagram.com/gamesterstudio/,unknown,mobile,unknown,yes — TOGED internship history,unknown,independent,Past TOGED internship list.
Nomad Monkey,Istanbul,Istanbul,2023,1–10 (LinkedIn),unknown,https://nomadmonkey.xyz,nomad@nomadmonkey.xyz (general),VR,Tunnels; Downhill Bike; Machine Shop Simulator,unknown,unknown,independent,Tunnels Meta Quest (Mastiff release); OSTİM address trace.
GameGuru,Istanbul,Istanbul,~2010 (site); some sources 2014,~19 (company About),500M+ downloads / 5M+ DAU statement (About),https://gameguru.net,info@gameguru.mobi (general); hello@gameguru.net (general),hypercasual,Slap Kings; Fruit Clinic; Flick Goal; Street Hustle; Army Commander,unknown,unknown,independent,Ayazağa; long-term studio focused on hypercasual.
Curse Game Studio,Istanbul,Istanbul,2019,unknown,unknown,https://www.linkedin.com/company/curse-game-studio,unknown,hypercasual 3D,unknown,unknown,unknown,independent,3D hypercasual focused.
LuLu Games,Istanbul,Istanbul,2022,small,unknown,,unknown,mobile,unknown,unknown,unknown,independent,A new studio that appears on industry lists; no verifiable official site. The former lulugames.io has become a gambling site.
Metaverse Game Studios,Istanbul,Istanbul,2020,unknown,investment round (2022 industry news),https://angelicthegame.com,unknown,turn-based strategy RPG,Angelic: Dark Symphony,unknown,unknown,independent,Renamed Angelicore Game Studios in 2026; US-headquartered distributed studio with an Istanbul team.
Phoelix Games,Istanbul,Istanbul,unknown,unknown,unknown,https://phoelixgames.com,info@phoelixgames.com (general),mobile,Excavator Simulator 2025; Construction Simulator,unknown,unknown,independent,Istanbul mobile studio.
OXS Games,Istanbul,Istanbul,2021,unknown,unknown,https://oxs.games,games@oxsbilisim.com (general),mobile shooter / racing / simulation,Arena Blast; Online Drift Arena; Challenger X; Highway Truck Simulator; Highway Truck,unknown,unknown,independent,Istanbul mobile studio.
SekGames,Istanbul,Istanbul,2020,unknown,unknown,https://sekgames.com,info@sekgames.com (general),hybrid-casual / idle simulation,Police Station Idle; My Shopping Mall; Airport Idle; Idle Tycoon,no — the careers page lists full-time roles only,yes — open roles are advertised as remote,independent,Istanbul mobile studio.
Wendigo Games,Istanbul,Istanbul,2022,unknown,unknown,https://wendigo.games,hello@wendigo.games (general),narrative FPS / party game / simulation,Orpheus: Tale of a Lover; WHAT THE PAK?!; Wrap House Simulator,unknown,unknown,independent,Istanbul studio.
Overbaked Studio,Istanbul,Istanbul,2026,unknown,unknown,https://overbaked.studio,hello@overbaked.studio (general),game,unknown,unknown,unknown,independent,Newly established studio.
Rotten Games,Istanbul,Istanbul,unknown,unknown,unknown,https://rotten.games,contact@rotten.games (general),mobile puzzle / hybrid-casual,Quick Chess; Ball Climber; Chess Blitz,unknown,unknown,independent,Istanbul mobile studio.
Deneb Games,Istanbul,Istanbul / Turkey,unknown,unknown,unknown,,unknown,mobile,unknown,unknown,unknown,independent,Both the domain and the Google Play developer page are down; appears to have closed.
Rotatelab,Other cities,Gaziantep (Gaziantep Teknopark),unknown,unknown,unknown,https://rotatelab.com,info@rotatelab.com (general),mobile,Cube Land; Sort Land; Puzzle Land,unknown,yes — open roles are advertised as remote,independent,The Google Play developer address and trade registry both point to Gaziantep Teknopark; the previous Istanbul entry was incorrect.
Nokta Games,Ankara,Ankara,2017,~10–20 (LinkedIn),Supermarket Simulator millions of players; Steam hit,https://noktagames.com,unknown,PC/console simulation,Supermarket Simulator; Toy Of War; Retail Simulator,unknown,unknown,independent,Supermarket Simulator 1.0; console port partnership news.
skgames,Ankara,Ankara,2014,unknown,Traffic Rider hundreds of millions of downloads (industry),https://skgames.net,info@skgames.net (general),mobile racing / arcade,Traffic Rider; Traffic Racer; Wings on Fire; Racing Fever,unknown (career page exists),unknown,independent,Soner Kara; long-lasting mobile racing hits. Early mobile racing hits Traffic Rider/Racer.
Curve Animation,Ankara,Ankara,2014,~16 (LinkedIn),Liar's Bar viral success,https://curve.com.tr,info@curve.com.tr (general),animation + game,Liar's Bar; Chicken Away,unknown (career page exists),unknown,independent,Animation background; game visibility with Liar's Bar.
Pixega Studio,Ankara,Ankara,2015,unknown,unknown,https://www.pixegastudio.com,info@pixegastudio.com (general),game development / game art / VR / AR,Twelve Labours of Hercules; Hercules Adventures,yes — TOGED internship history,unknown,independent,TOGED internship list.
Zibumi,Ankara,Ankara (METU Technopark reference),~2008,unknown,unknown,https://zibumi.com/,unknown,casual / browser,2Seksen; Monster Kartz,yes — TOGED internship history,unknown,independent,"Early-era Ankara studio; acquired by Esri in 2020, continues as Esri R&D Center Ankara."
2DOT Games,Ankara,Ankara (METU ATOM),unknown,unknown,unknown,https://2dotgames.com,info@2dotgames.com (general),PC / mobile indie,Unbelievers,unknown,unknown,independent,ATOM ecosystem studio.
Celtwood Games,Ankara,Ankara (METU ATOM),unknown,unknown,unknown,,unknown,game,unknown,unknown,unknown,independent,ATOM ecosystem studio.
Skyloft Studios,Izmir,Izmir,2015,~10–20 (LinkedIn),unknown,https://skyloftstudios.com,unknown,hypercasual / hybrid / mid-core,Hyper Survive 3D; Hyper Knight; Hyper Casual Arena,unknown,unknown,independent (BoomHits shared office),Office merger with BoomHits; site under construction.
BoomHits,Izmir,Izmir (+ UK/Poland hub),2021,small (LinkedIn ~3; uncertain after BoomBit merger),70M+ download claim; BoomBit subsidiary,https://boomhits.com,support@boomhits.com (support),hypercasual / idle / hybrid publishing,Shoe Race; Cat Life Sim; Crazy Traffic Control; Hyper Touchdown 3D,unknown,unknown,BoomBit subsidiary,BoomBit subsidiary; Izmir+UK+PL hub.
Joinco Games,Izmir,Izmir (Aegean Technopark / Bornova),2022,~10–20 (LinkedIn),$3.3M valuation pre-seed (2024; Mobidictum),https://joincogames.com,unknown,AI-native competitive multiplayer; sport/arcade,Angry Goals; Football Arcade,career page available,unknown,independent,Angry Goals soft launch/live operation phase.
Teos Games,Izmir,Izmir,2021,~15–18 (site 15+; Tracxn ~18),unknown,https://teosgamestudio.com,info@teosgamestudio.com (general),mobile puzzle / brain-test; permanent game goal,Help Me; Puzzle Escape,career page available,remote-heavy (company statement),independent,Izmir + remote model site statement.
Room Games,Izmir,Izmir,2022,~11 (LinkedIn),unknown,https://roomgames.co,hello@roomgames.co (general),PC/console; hyper-realistic RC / multiplayer,Recharge; Idle Charge,yes — Intern Game Tester (site team list),unknown,independent,Izmir-based indie; Steam Recharge; Gamescom 2026 İZKA nominee.
HOGO Games,Other cities,Kocaeli,unknown,unknown,~$5M valuation round (2025; Red Axe + angels),https://hogogames.com,hogogames@hogogames.com (general),PC + mobile,Marble Race; Travel Jam!; Fill The Bucket; Race Puzzle,unknown,unknown,independent,Cross-platform; growing focused on PC.
Red Axe Games,Other cities,Antalya,2023,unknown,unknown (investor in HOGO),https://redaxegames.com,info@redaxegames.com (general); contact@redaxegames.com (general),PC simulation / publishing,Car For Sale Simulator 2023; Gym Simulator 24; Banker Simulator; Car Service Simulator; Gas Station Simulator,unknown,unknown,independent,Antalya; Steam sim / publisher profile.
Elite Games,Ankara,Ankara,unknown,unknown,unknown,,unknown,game,unknown,yes — TOGED internship history,unknown,independent,Comes from the TOGED internship list; the city is unsourced and the evidence points to Istanbul. No verifiable site.
Black COCO,Ankara,Ankara / Turkey,unknown,unknown,unknown,,unknown,game,unknown,yes — TOGED internship history,unknown,independent,Comes from the TOGED internship list; the evidence points to Istanbul and a closure in 2020.
Infosfer,Ankara,Ankara,unknown,unknown,unknown,,unknown,game / software,unknown,yes — TOGED internship history,unknown,independent,Comes from the TOGED internship list; the trade registry says Istanbul (Bakırköy) and infosfer.com is down — inactive for a long time.
DGR Project,Ankara,Ankara / Turkey,unknown,unknown,unknown,,unknown,game,unknown,yes — TOGED internship history,unknown,independent,Comes from the TOGED internship list; the games side operated as DGR Games and dgrproject.com is parked.
SanLab,Ankara,Ankara,unknown,unknown,unknown,https://sanlab.net,info@sanlab.net (general); support@sanlab.net (support); kvkk@sanlab.net (general); request@sanlab.net (general),simulation / serious,unknown,yes — TOGED internship history,unknown,independent,"On the TOGED internship list; serious/sim. Per the official site, headquarters is Istanbul (Kartal)."
Oldmoustache,Istanbul,Istanbul / Turkey,2014,unknown,unknown,https://www.clockwizardgames.com,clockwizardgames@gmail.com (general),game,No70: Eye of Basir; Haunt Chaser; Demonologist,yes — TOGED internship history,unknown,independent,On the TOGED internship list; continues under the name Clock Wizard Games.
Unico Studio,Istanbul,Istanbul (+ Palo Alto; Ankara presence),2018,~77–100+ (LinkedIn ~77; site 100+),1.6B+ download claim,https://unicostudio.co,unico@unicostudio.co (general),casual puzzle,Brain Test; Woody Sort; 2248; Screw Out 3D; Who is?; Word Pearls; Word Perfect; Brain Test 2,unknown (LinkedIn Intern record; career page to be monitored),remote-first / remote-first (company statement; has TR offices),independent,"Site: 1.6B+ installs, 50+ games; Palo Alto HQ + TR team dominant. Global trivia/puzzle success via Brain Test series."
Gamegos,Istanbul,Istanbul (Ataşehir),2006,~40 (LinkedIn),unknown,https://www.gamegos.com,info@gamegos.com (general); jobs@gamegos.com (HR),casual simulation / cooking,Cafeland; Manor Cafe; Adventure Bay; Marketland; Fashland; Petsland,unknown,unknown,independent,Facebook social hit → mobile F2P; Amsterdam asset on LinkedIn. Cafe-sim evergreen portfolio led by Cafeland.
Fiber Games,Istanbul,Istanbul,2018,~18 (LinkedIn),BV/Arz seed; total fund ~$1M range (LinkedIn); early BV 3M TL news,https://www.fibergames.com.tr,info@fibergames.com.tr (general),hyper/hybrid-casual,Weld It 3D; Beauty Center; Kral Şakir: Adventure Island; Opet Ultra Race; Opet Ulusal; Kral Şakir: Macera Adası,unknown,unknown,independent,Kozyatağı; Rollic publishing partnership history; claim of 200+ prototypes (BV).
Moon Star Games,Istanbul,Istanbul,2019,small (1–10; low LinkedIn),40M+ download claim,https://moonstargames.co,burakcakmak@moonstargames.co (general),open world driving / racing sim,Motorcycle Driving: Cop Chase; Bike Rider; Car Crash Simulator; Real Moto Bike Racing; Traffic Rider style racing,unknown,unknown,independent,Moon Star Games Yazilim at Play; 40M+ downloads / ~5M AU company statement.
SKEB Studios,Istanbul,Istanbul (Şişli),2018,~6 (LinkedIn),unknown; 4M+ download claim,https://skebstudios.com,hello@skebstudios.com (general); press@skebstudios.com (press),PC indie + hypercasual,Colony; Slice Master; Color Rush; Hyper Dunk; Loot Town,unknown,unknown,independent,"Site: 4M+ downloads, GIST award-winning Colony; PC+hypercasual."
Pax Animi Games,Istanbul,Istanbul,2020,~4 (LinkedIn),Entertech/Yapı Kredi ~$250K (2025); total funding ~$280K range,https://www.paxanimigames.com,info@paxanimigames.com (general),hyper/casual,Money to Billions; Pure Farm; FishAway; Idle Billionaire,unknown,unknown,independent,Bamboo/Rollic accelerator graduate.
Aden Games,Istanbul,Istanbul (+ London),2018,~10 (LinkedIn),unknown,https://adengames.com,info@adengames.com (general); ik@adengames.com (HR),hyper/casual; Web3,Weapon Craft Run; Gold Rush 3D; MarbleVerse; Craft Run,unknown (LinkedIn Intern record history),unknown,independent,Gold Rush 3D 10M+; Weapon Craft Run rapid scaling with Rollic.
Duello Games,Istanbul,Istanbul,2010,~4 (LinkedIn),iSlash 20M+ downloads (company About); exact revenue unknown,https://duello.com,support@duello.com (support),mobile puzzle / arcade,iSlash; iSlash Heroes; TripTrap; Bellyfish,unknown,unknown,independent,Early App Store hit; team seems to have shrunk.
Inventuna Games,Istanbul,Istanbul (ITU Technopolis),2021,1–10 (LinkedIn low/~2),unknown,https://www.inventuna.com,unknown,blockchain action RPG,Heroes Chained; Blockchain RPG,unknown,unknown,independent,ITU Arı Technopolis; high uncertainty in team/product post-GameFi.
Softgames (İstanbul ofisi),Istanbul,Istanbul (Berlin HQ),2006,~90 global (company remote-work statement),unknown,https://softgames.com,help@softgames.de (support); privacy@softgames.de (privacy); publishers@softgames.com (publishing),instant / web / social casual,Family Feud; Wheel of Fortune; Jeopardy!; Name That Tune; Crossword Puzzle Collection,yes — Mandatory Internship / Pflichtpraktikum announcement (site),remote-first / remote-first (company statement; Istanbul office documented),Softgames GmbH,"Berlin HQ + Toronto; Istanbul office design project (Altun, ~2022–23)."
Frostline Games,Istanbul,Istanbul (Zaim Technopark),2021,~4 (industry; 1–10),seed ~$196K (2023; VCBacked),https://frostline.games,info@frostlinegames.com (general),PC/console; MOBA / FPS arena / battle royale (planned),Kaçka (development); Naipler; Worlds War; Kaçka; Dünyalar Savaşı,unknown,unknown,independent,Zaim Teknopark; products not widely released yet.
Rocinante Games,Istanbul,Istanbul (IZU Technopark),2021,small,unknown,https://rocinantegames.com,unknown,hyper-casual mobile,unknown,unknown,unknown,independent,Small technopark studio.
Madcraft Studios,Istanbul,Istanbul,2018,1–10 (LinkedIn/Tracxn low),WePlay investment (2020),https://madcraftstudios.com,info@madcraftstudios.com (general),PC narrative adventure,Crowalt: Traces of the Lost Colony,unknown,unknown,independent,Crowalt Steam/console; madcraftstudios.com currently gives a spam/hijack impression — based on Steam registration.
Moonstar Games (3D Evi),Istanbul,Istanbul (Bakırköy),unknown,unknown,unknown,https://www.moonstargames.com,info@moonstargames.com (general),VR / PC,Castle Capture Topkapı; Despot Zombie; Historical Strategy,unknown,unknown,independent,Not to be confused with Moon Star Games (mobile).
ByteTyper,Istanbul,Istanbul (Kozyatağı); Ankara office,2019,~10,Rollic/Zynga acquisition (2021),https://bytetyper.com,unknown,hyper-casual,Racing Online; Firefighter Hero; Touchdrawn,unknown,unknown,Rollic / Zynga,Rollic/Zynga 2021; Racing Online; Firefighter Hero; Touchdrawn.
ZeroSum,Istanbul,Istanbul (Sarıyer / Vadistanbul),2020,~11–50 (LinkedIn range),Rollic/Zynga acquisition (2021),https://www.linkedin.com/company/zerosumgames,unknown,hyper-casual,Barista Life; Long Nails 3D; Off-Road Race,unknown,unknown,Rollic / Zynga,Acquired by Rollic/Zynga in 2021; founders left in 2024 and the games are published under Rollic. zerosum.co is for sale and must not be used.
Pinq Games,Ankara,Ankara (METU Technopolis / ATOM),2021,small (1–10; LinkedIn ~2),unknown,https://pinq.games,unknown,mid-core strategy; voxel R&D,Politon; Still Two Minutes,yes — intern/project contribution LinkedIn history,unknown,independent (Grazing Software),Politon full release Steam; PS/Xbox kit partnership news.
Oreon Studios,Ankara,Ankara,2022,~8,200M+ download claim,https://oreonstudios.com,info@oreonstudios.com (general),hyper/hybrid-casual,Monster Draft; Slice Master; Draw Army; Mask Evolution; Build A Car; Build Masters,unknown,unknown,independent,Founded March 2022; 200M+ downloads company statement.
Hypermonk Games,Ankara,Ankara (Hacettepe Technopark),2021,~35–36 (Tracxn/sector),~$17.5M (Hacettepe Technopolis 2024 statement); ~80M downloads,https://hypermonkgames.com,info@hypermonkgames.com (general); support@hypermonkgames.com (support),racing / casual,Highway Overtake; Dyno 2 Race; Drift 2 Drag; Count Bounce,unknown,unknown,independent,Some sources claim establishment in 2020; Highway Overtake global racing #1 claim.
Kodgraf Game Studio,Ankara,Ankara (METU Technopolis),2008,unknown,unknown,https://www.kodgraf.com,info@kodgraf.com (general),PC/mobile,Boğaz Harbi; Protector M; Hürriyet Kelime,unknown,unknown,independent,Early Teknokent studio; current activity may be limited.
Creasaur Entertainment,Ankara,Ankara,2017,11–50 range (LinkedIn),Rollic/Zynga acquisition (2021),https://creasaur.net,mail@creasaur.com (general),hyper-casual,Money Maker 3D; Hit Guys; Idle Cash,unknown,office (open office statement; not remote-first),Rollic / Zynga,Bilkent Cyberpark; Rollic/Zynga 2021. Hyper-casual / idle publisher-developer.
Quok Games,Ankara,Ankara,2020,unknown,unknown,https://quok.games,info@quok.games (general); support@quok.games (support),mobile hyper-casual / hybrid-casual,Screw Jam; Blob Runner; Hoard Master; Repair Master,unknown,unknown,independent,Ankara mobile studio (originating from ODTÜ Teknokent ATOM). The official site is quok.games; quokgames.com is an unrelated crypto project.
396 Animation & Game Studios,Eskişehir,Eskişehir (ATAP Anadolu Technopark),2018,~26,unknown,https://www.linkedin.com/company/396-animation-and-game-studios,unknown,animation + game production,TRT Çocuk: Anadolu Rock ve Tuhafiye; Mercanya; Akıncı,unknown,unknown,independent,"At ATAP; primarily local publishing/animation, also involved in game production."
Craftbridge Games,Eskişehir,Eskişehir (ATAP Software Tower / EOSB),unknown,1–10,unknown,https://craftbridgegames.com,unknown,PC indie / side-scroller,The Carnival of Company; Ginga Cantina,unknown,unknown,independent,ATAP company CRAFTBRIDGE Bilişim; published on Steam.
SensiBall VR,Eskişehir,Eskişehir (ATAP Anadolu Technopark),unknown,unknown,unknown,https://sensiballvr.com,unknown,VR / serious games / sports cognitive training,SensiBallVR platform,unknown,unknown,independent,VR for cognitive performance in football; game engine/XR intersection.
Skunkworks Studios,Eskişehir,Eskişehir,~2024,1–10,unknown,https://store.steampowered.com/curator/45559782-Skunkworks-Studios,unknown,PC indie,Master of Cigkofte; Craft & Deliver; The Dismissed Case: Black Hollow; The Dismissed Case: Blackout,unknown,unknown,independent,"Eskişehir-based one-person indie; has no domain of its own, so the Steam developer page was used as the source."
Fateloom,Eskişehir,Eskişehir,~2025,1–10,unknown,https://www.linkedin.com/company/fateloom,unknown,game tools / VFX / asset,Divine Craftedy; Fateloom All-in-One VFX Essentials; Audio Looper,unknown,unknown,independent,Has no domain of its own; LinkedIn used as the source. The former fateloom.io has fallen to gambling spam and must not be used.
ValenGate Game Studio,Eskişehir,Eskişehir,2024,1–10,unknown,https://store.steampowered.com/developer/Valengate,unknown,game,Trade Empire,unknown,unknown,independent,"New Eskişehir-based studio; valengate.com does not respond, so the Steam developer page was used as the source."
Ash & Pause,Eskişehir,Eskişehir,2025,~5,unknown,https://www.ashandpause.com,unknown,PC indie / multiplayer platformer,TaterUp; Loop 13,unknown,unknown,independent,Icarus community origin; TaterUp on Steam.
Narradive Studios,Eskişehir,Eskişehir office (HQ Istanbul reference),2025,1–10,unknown,https://narradive.com,unknown,narrative indie,Will You Be My Disciple?; Command Pocket,unknown,unknown,independent,Team in Eskişehir; narrative dark comedy.
Lumos İnteraktif,Eskişehir,Eskişehir (ATAP),2023,unknown,unknown,https://lumos.works,hello@lumos.works (general),animation / interactive content (not games),LUMI; Kukuli; Giligilis; Serra,unknown,unknown,independent,Born in the ATAP incubator; an animation/creative-technology studio rather than a game studio — an ecosystem neighbour.
Resimli Filim,Eskişehir,Eskişehir (ATAP),unknown,unknown,unknown,http://www.resimlifilim.com,unknown,animation studio,unknown,unknown,unknown,independent,Not a pure game studio; a well-established player in the Eskişehir animation ecosystem.
Koala Film Stüdyo,Eskişehir,Eskişehir (ATAP),2018,unknown,unknown,https://www.koalafilmstudio.com,info@koalafilmstudio.com (general),animation / film,unknown,unknown,unknown,independent,ATAP animation company; involved in creative industry discussions.
Cyber Panda Studios,Eskişehir,Eskişehir,unknown,unknown,unknown,,unknown,mobile / blockchain game,unknown,unknown,unknown,independent,Eskişehir references; verification limited.
Tasarım Simülasyon Teknolojileri,Eskişehir,Eskişehir (ESOGÜ Technopark),2019,unknown,unknown,https://dstechs.net,info@dstechs.net (general),simulation technologies,unknown,unknown,unknown,independent,R&D centre at ESOGÜ Teknopark; a CFD/engineering simulation firm rather than a game company — an ecosystem neighbour.
Umay Müze Tasarımı,Eskişehir,Eskişehir (ATAP),unknown,unknown,unknown,,unknown,museum / interactive experience,unknown,unknown,unknown,independent,Not a game; interactive/museum technology — ecosystem neighbor.
Games United,Ecosystem / association / incubator,Istanbul (ATAP/ARİNKOM partnership in Eskişehir),2021,—,—,https://gamesunited.co,hello@gamesunited.co (general); hr@gamesunited.co (HR),game incubation / mentoring / publishing partnership,—,runs an incubation program,—,private,Istanbul-based venture builder; its Eskişehir link is the Anadolu Üni. + ETO + ARİNKOM TTO Game and Animation Development Centre partnership.
ARİNKOM TTO,Ecosystem / association / incubator,Eskişehir (Anadolu University),—,—,—,https://arinkom.anadolu.edu.tr,unknown,technology transfer / pre-incubation,—,mentorship applications open,—,university TTO,Game incubation with Games United; ANAÇ pre-incubation area.
ATAP / ETGB,Ecosystem / association / incubator,Eskişehir,1984 (ATAP),106 active companies (general),—,https://www.atap.com.tr,atap@atap.com.tr (general),technology park management company,—,unknown,—,management company,"Mobge, 396, Craftbridge, SensiBall VR, Resimli Filim etc. included."
Icarus Oyun Geliştirme Topluluğu,Ecosystem / association / incubator,Eskişehir (ESOGÜ),2023,—,—,https://www.linkedin.com/company/icarus-oyun-gelistirme-ve-programlama-toplulugu,unknown,student game community,—,education / event,—,student community,"ESOGÜ student community (full name: Icarus Oyun Geliştirme ve Programlama Topluluğu); has no site of its own, LinkedIn used as the source."
